Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,7.19,17.32,14.66,0,0
Short Term Investments,34.08,27.82,30.74,0,0
Cash and Short Term Investments,41.27,45.13,45.41,48.13,50.37
"Accounts Receivable - Trade, Net",-1.79,-0.94,-0.28,3.65,2.83
"Total Receivables, Net",3.43,3.40,3.52,3.65,2.83
Prepaid Expenses,0.42,0.48,0.23,0.43,0.41
"Other Current Assets, Total",0.21,0.22,0.24,0,0
Total Current Assets,45.52,49.41,49.55,52.34,53.73
"Property/Plant/Equipment, Total - Gross",119.47,123.88,126.45,0,0
"Accumulated Depreciation, Total",-39.17,-44.39,-49.85,0,0
"Property/Plant/Equipment, Total - Net",80.30,79.49,76.60,78.13,77.62
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,126.14,128.90,126.15,130.47,131.35
Accounts Payable,0.05,0.59,0.25,0,0
Accrued Expenses,1.06,1.28,1.10,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",6.02,5.96,5.75,5.53,6.25
Total Current Liabilities,10.81,11.43,10.95,14.89,17.51
Total Long Term Debt,0.00,0.00,0.00,4.00,5.57
Total Debt,0.00,0.00,0.00,4.00,5.69
Deferred Income Tax,0.00,0.52,1.02,1.30,1.61
"Other Liabilities, Total",69.47,62.98,56.31,52.07,48.07
Total Liabilities,80.29,75.64,68.80,72.19,71.91
"Common Stock, Total",46.78,46.78,46.78,46.78,46.78
Retained Earnings (Accumulated Deficit),-0.93,-28.66,10.56,11.51,13.08
Treasury Stock - Common,0,0,0,0,-0.43
Unrealised Gain (Loss),0,35.15,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,45.85,53.26,57.34,58.29,59.43
Total Liabilities & Shareholders' Equity,126.14,128.90,126.15,130.47,131.35
Total Common Shares Outstanding,86.46,86.46,86.46,86.46,85.56
"Tangible Book Value per Share, Common Eq",0.53,0.62,0.66,0.67,0.69
