Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,19.67,19.14,19.88,20.87,16.15
Total Revenue,19.67,19.14,19.88,20.87,16.15
"Selling/General/Admin. Expenses, Total",15.85,14.24,15.45,16.57,13.65
Depreciation/Amortisation,1.80,5.36,5.64,5.83,6.13
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-6.37,-12.72,-12.32,-9.64,-10.79
Total Operating Expense,14.81,11.34,13.19,17.33,12.02
Operating Income,4.87,7.80,6.69,3.54,4.13
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.36,-0.05,0.06,-0.41,-0.51
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.50,7.75,6.76,3.13,3.62
Provision for Income Taxes,0.65,1.05,1.15,1.34,1.22
Net Income After Taxes,3.85,6.70,5.61,1.79,2.41
Net Income Before Extra. Items,3.85,6.75,5.80,2.48,3.18
Net Income,3.85,6.75,5.80,2.48,3.18
Income Available to Com Excl ExtraOrd,3.85,6.75,5.80,2.48,3.18
Income Available to Com Incl ExtraOrd,3.85,6.75,5.80,2.48,3.18
Diluted Net Income,3.85,6.75,5.80,2.48,3.18
Diluted Weighted Average Shares,86.46,86.46,86.46,86.46,86.37
Diluted EPS Excluding ExtraOrd Items,0.04,0.08,0.07,0.03,0.04
DPS - Common Stock Primary Issue,0.02,0.02,0.02,0.02,0.02
Diluted Normalised EPS,0.04,0.08,0.07,0.03,0.04
