Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,25.37,-93.09,20.68,15.90,3.28
Depreciation/Depletion,12.77,12.69,10.95,21.08,23.17
Non-Cash Items,-22.84,92.87,9.18,-11.07,6.66
Cash Taxes Paid,1.57,2.17,1.53,1.21,1.64
Changes in Working Capital,43.08,-1.82,-15.16,-0.61,-7.22
Cash from Operating Activities,58.38,10.65,25.65,25.32,25.89
Capital Expenditures,-5.62,-3.20,-1.93,-1.38,-0.67
"Other Investing Cash Flow Items, Total",24.30,75.26,42.93,229.28,8.10
Cash from Investing Activities,18.68,72.06,41.00,227.90,7.43
Total Cash Dividends Paid,-2.47,-1.78,0.00,-2.67,0.00
"Issuance (Retirement) of Stock, Net",9.21,26.42,-0.05,0.00,0
Cash from Financing Activities,-47.58,-77.75,-70.50,-249.35,-40.24
Foreign Exchange Effects,-0.62,1.22,-1.16,-0.06,-0.17
Net Change in Cash,28.86,6.17,-5.01,3.80,-7.10
