Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,9.60,8.49,16.98,-0.51,2.16
Depreciation/Depletion,2.93,3.22,0.89,0.32,1.04
Non-Cash Items,-0.23,3.33,-20.96,2.47,0.26
Cash Taxes Paid,1.58,1.46,2.11,0.22,0.54
Changes in Working Capital,-4.99,1.48,0.19,0.92,-0.89
Cash from Operating Activities,8.34,17.61,-2.52,3.21,2.78
Capital Expenditures,-2.92,-2.80,-0.83,-0.93,-1.39
"Other Investing Cash Flow Items, Total",2.45,8.85,51.16,6.14,0.59
Cash from Investing Activities,-0.47,6.05,50.34,5.20,-0.80
Total Cash Dividends Paid,-3.40,-7.19,-27.58,-5.85,-3.34
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,-0.13
Cash from Financing Activities,-8.26,-9.89,-27.96,-5.85,-2.71
Foreign Exchange Effects,0.36,-0.05,-0.37,-0.34,0.21
Net Change in Cash,-0.03,13.73,19.48,2.22,-0.52
