Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,328.70,224.07,107.10,61.36,75.59
Total Revenue,328.70,224.07,107.10,61.36,75.59
"Selling/General/Admin. Expenses, Total",30.44,27.72,24.29,15.78,16.54
Depreciation/Amortisation,5.35,2.46,0.47,1.23,1.19
Unusual Expense (Income),-15.67,100.98,0,0,6.97
"Other Operating Expenses, Total",-0.18,473.16,-72.13,6.95,-11.84
Total Operating Expense,282.97,1002.12,58.54,95.67,61.71
Operating Income,45.73,-778.05,48.56,-34.31,13.87
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.83,-0.71,-0.39
"Other, Net",0,0,0,0,0
Net Income Before Taxes,45.73,-778.05,47.73,-35.02,13.48
Provision for Income Taxes,8.69,-0.35,18.59,-0.02,6.73
Net Income After Taxes,37.04,-777.70,29.14,-35.00,6.75
Net Income Before Extra. Items,37.04,-777.70,29.14,-35.00,6.75
Net Income,37.04,-777.70,29.14,-35.00,6.75
Income Available to Com Excl ExtraOrd,37.04,-777.70,29.14,-35.00,6.75
Income Available to Com Incl ExtraOrd,37.04,-777.70,29.14,-35.00,6.75
Diluted Net Income,37.04,-777.70,29.14,-35.00,6.75
Diluted Weighted Average Shares,154.55,175.76,176.58,176.79,176.80
Diluted EPS Excluding ExtraOrd Items,0.24,-4.42,0.17,-0.20,0.04
DPS - Common Stock Primary Issue,0.01,0.00,0,0,0
Diluted Normalised EPS,0.16,-4.05,0.17,-0.20,0.06
