Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.36,0.54,3.90,82.12,38.74
Depreciation/Depletion,2.78,2.73,2.35,1.22,0.42
Non-Cash Items,2.66,0.91,0.05,-86.27,-42.42
Cash Taxes Paid,0.31,0.28,0.31,0.57,0.12
Changes in Working Capital,1.99,1.84,-5.86,6.63,0.86
Cash from Operating Activities,6.07,6.02,0.43,3.70,-2.41
Capital Expenditures,-1.56,-1.26,-1.03,-0.26,-0.37
"Other Investing Cash Flow Items, Total",0.20,1.61,4.07,3.76,0.14
Cash from Investing Activities,-1.36,0.35,3.04,3.49,-0.22
Total Cash Dividends Paid,0,0,0,-3.59,-0.90
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-4.32,-4.58,-0.91,-12.42,2.17
Foreign Exchange Effects,-0.06,-0.04,0.03,-0.03,0
Net Change in Cash,0.32,1.75,2.59,-5.26,-0.46
