Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-3.84,2.85,-5.82,-2.02,0.76
Depreciation/Depletion,12.39,19.64,14.95,10.92,8.35
Non-Cash Items,2.56,2.50,4.39,1.83,-0.87
Cash Taxes Paid,1.94,0.87,1.03,0.55,0.75
Changes in Working Capital,1.44,31.60,17.03,8.92,10.41
Cash from Operating Activities,12.55,56.59,30.54,19.65,18.64
Capital Expenditures,-13.01,-18.30,-4.11,-2.16,-4.72
"Other Investing Cash Flow Items, Total",2.01,2.80,0.40,1.95,0.45
Cash from Investing Activities,-10.99,-15.50,-3.71,-0.22,-4.27
Total Cash Dividends Paid,-3.16,-1.71,0.00,0,0
"Issuance (Retirement) of Stock, Net",-0.02,-0.25,0.00,0,0
Cash from Financing Activities,-12.98,-46.68,-32.85,-15.54,-6.88
Foreign Exchange Effects,-0.61,-0.41,-0.16,0.01,0.05
Net Change in Cash,-12.03,-6.01,-6.18,3.91,7.54
