Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,40.04,36.57,76.04,68.28,77.71
Depreciation/Depletion,56.44,53.69,53.56,63.55,63.32
Non-Cash Items,24.28,8.47,18.64,7.97,38.59
Cash Taxes Paid,4.07,5.87,9.84,15.94,17.11
Changes in Working Capital,-14.09,-123.18,-39.72,-132.06,-211.55
Cash from Operating Activities,106.76,-24.41,108.52,7.75,-31.93
Capital Expenditures,-6.58,-5.91,-17.24,-27.08,-13.21
"Other Investing Cash Flow Items, Total",0.72,1.73,3.30,3.40,4.10
Cash from Investing Activities,-5.86,-4.18,-13.94,-23.68,-9.11
Total Cash Dividends Paid,0.00,-4.37,-4.33,-13.42,-4.47
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-129.55,42.39,-36.98,-1.06,1.97
Foreign Exchange Effects,1.33,-2.43,0.94,2.15,-3.65
Net Change in Cash,-27.32,11.37,58.54,-14.84,-42.73
