Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,37.97,25.80,41.98
Short Term Investments,0,0,23.17,32.07,29.43
Cash and Short Term Investments,51.48,52.22,61.14,57.87,71.42
"Accounts Receivable - Trade, Net",35.48,34.02,23.40,22.55,41.63
"Total Receivables, Net",37.32,36.12,26.87,26.82,45.03
Prepaid Expenses,0.47,0.47,0.28,0.21,0.36
"Other Current Assets, Total",0.00,1.69,1.83,1.31,1.13
Total Current Assets,89.96,92.11,92.90,88.31,120.23
"Property/Plant/Equipment, Total - Gross",0,0,109.70,111.36,126.57
"Accumulated Depreciation, Total",0,0,-62.64,-67.07,-80.12
"Property/Plant/Equipment, Total - Net",52.03,50.77,47.06,44.28,46.45
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.25,0.50,0.34,0.17,0.95
Long Term Investments,5.59,6.63,6.45,7.15,8.53
Total Assets,147.97,151.14,147.95,140.09,176.66
Accounts Payable,0,0,7.48,4.73,19.51
Accrued Expenses,0,0,12.05,8.11,17.43
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",5.68,7.81,6.20,6.37,9.72
Total Current Liabilities,25.94,31.19,25.80,19.22,47.56
Total Long Term Debt,0.18,0.10,0.02,0.00,6.79
Total Debt,0.26,0.18,0.10,0.02,7.69
Deferred Income Tax,1.42,1.17,1.58,0.73,0.44
"Other Liabilities, Total",0,0,0.23,0.60,2.31
Total Liabilities,27.53,32.46,27.63,20.56,57.11
"Common Stock, Total",65.02,65.11,65.40,65.40,65.40
Retained Earnings (Accumulated Deficit),55.85,53.52,55.00,53.79,53.59
Treasury Stock - Common,-0.16,-0.16,-0.16,-0.16,-0.16
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.27,0.21,0.07,0.50,0.71
Total Equity,120.44,118.68,120.32,119.54,119.55
Total Liabilities & Shareholders' Equity,147.97,151.14,147.95,140.09,176.66
Total Common Shares Outstanding,225.07,225.36,226.24,226.24,226.24
"Tangible Book Value per Share, Common Eq",0.53,0.52,0.53,0.53,0.52
