Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,894.76,861.81,814.92,732.64,733.12
Short Term Investments,46.58,148.08,85.77,41.10,69.99
Cash and Short Term Investments,941.34,1009.89,900.69,773.74,803.11
"Accounts Receivable - Trade, Net",9.28,10.91,5.04,5.66,4.83
"Total Receivables, Net",11.99,13.06,6.24,6.83,6.69
Prepaid Expenses,0.69,0.70,1.94,0.55,0.72
"Other Current Assets, Total",1184.79,660.86,320.04,341.04,291.53
Total Current Assets,2138.81,1684.50,1228.91,1122.16,1102.04
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.02,1.15,0.77,26.64,24.91
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,5358.92,4758.66,5122.93,5194.88,5599.41
Total Assets,7503.58,6444.31,6352.61,6343.67,6726.36
Accounts Payable,0,0,0,0,0
Accrued Expenses,103.24,81.44,74.42,92.76,137.66
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",61.84,136.23,36.28,29.79,53.05
Total Current Liabilities,165.08,217.66,110.70,122.54,198.89
Total Long Term Debt,0.00,0.00,0.00,0.00,16.08
Total Debt,0.00,0.00,0.00,0.00,24.26
Deferred Income Tax,40.40,0.00,0,0,183.67
"Other Liabilities, Total",0,0,0,18.63,0
Total Liabilities,319.15,319.12,205.86,238.15,516.65
"Common Stock, Total",5233.03,5233.03,5233.03,5233.03,5233.03
Retained Earnings (Accumulated Deficit),35.69,79.75,-41.91,-3.93,271.27
Treasury Stock - Common,-254.06,-291.10,-300.23,-300.23,-306.52
Unrealised Gain (Loss),759.47,-63.18,0.00,0,0
"Other Equity, Total",62.41,-181.20,-92.02,-171.24,-335.96
Total Equity,7184.43,6125.19,6146.75,6105.52,6209.71
Total Liabilities & Shareholders' Equity,7503.58,6444.31,6352.61,6343.67,6726.36
Total Common Shares Outstanding,97.42,96.49,96.29,96.29,96.11
"Tangible Book Value per Share, Common Eq",73.75,63.48,63.84,63.41,64.61
