Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,55719.04,0,0,0,0
Short Term Investments,317413.04,1729.29,1738.02,148.68,7463.37
Cash and Short Term Investments,373132.08,384573.98,290829.13,263269.92,181316.54
"Accounts Receivable - Trade, Net",5374.35,23690.29,42455.29,17725.52,16745.78
"Total Receivables, Net",38339.68,25655.74,58271.83,37309.20,21628.65
Prepaid Expenses,459.95,630.92,2856.98,1239.40,565.90
"Other Current Assets, Total",2695.07,1689.70,7995.10,9387.80,16812.90
Total Current Assets,465808.72,452765.40,415044.27,338964.01,261359.31
"Property/Plant/Equipment, Total - Gross",402866.56,0,0,0,0
"Accumulated Depreciation, Total",-164025.01,0,0,0,0
"Property/Plant/Equipment, Total - Net",238841.55,243526.25,249971.12,276351.02,474094.24
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",604.43,658.68,0.00,0,0
Long Term Investments,0,0,0,0,0
Total Assets,764200.13,756531.80,724741.62,702199.71,879816.58
Accounts Payable,22959.24,0,0,0,0
Accrued Expenses,10067.54,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,410.91,72.00
"Other Current liabilities, Total",31900.20,12390.96,1402.26,82.57,450.36
Total Current Liabilities,64991.53,51110.36,32210.05,52119.31,51639.44
Total Long Term Debt,95.89,25.09,0.00,2732.22,1795.93
Total Debt,160.44,194.25,25.09,4197.03,2985.25
Deferred Income Tax,3253.00,5386.21,10005.25,13385.72,37568.66
"Other Liabilities, Total",39669.53,42067.92,29657.16,34536.99,43538.65
Total Liabilities,121841.80,113355.42,89272.40,119016.46,157901.87
"Common Stock, Total",660381.63,648501.31,647867.86,647041.45,716385.27
Retained Earnings (Accumulated Deficit),-99485.00,-117797.05,-140999.84,-184219.58,-121929.53
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",81461.69,112472.11,128601.19,120361.39,127458.96
Total Equity,642358.33,643176.38,635469.22,583183.25,721914.71
Total Liabilities & Shareholders' Equity,764200.13,756531.80,724741.62,702199.71,879816.58
Total Common Shares Outstanding,199.78,196.45,196.27,195.90,251.05
"Tangible Book Value per Share, Common Eq",3212.24,3270.58,3237.70,2976.97,2875.54
