Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.68,-3.25,0.70,-14.71,3.31
Depreciation/Depletion,2.23,1.38,1.40,1.78,4.10
Non-Cash Items,2.75,1.65,1.30,12.44,-6.28
Cash Taxes Paid,0.36,0.78,0.54,0.90,0.16
Changes in Working Capital,16.71,-1.10,-7.45,-7.37,11.39
Cash from Operating Activities,20.14,-1.25,-4.00,-7.83,12.54
Capital Expenditures,-3.43,-0.92,-0.35,-0.65,-0.34
"Other Investing Cash Flow Items, Total",0.54,0.41,3.26,-4.83,-2.75
Cash from Investing Activities,-2.89,-0.51,2.91,-5.48,-3.08
Total Cash Dividends Paid,0.00,-2.53,-4.96,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-2.66,-3.72,-6.79,-1.77,3.81
Foreign Exchange Effects,-0.18,-1.15,-0.25,-0.26,0.31
Net Change in Cash,14.41,-6.63,-8.13,-15.34,13.57
