Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,138.58,149.06,124.98,104.07,104.28
Total Revenue,138.58,149.06,124.98,104.07,104.28
"Selling/General/Admin. Expenses, Total",11.73,10.46,11.54,10.88,10.01
Depreciation/Amortisation,0.39,0.28,0.33,0.36,0.32
Unusual Expense (Income),-3.84,-13.24,7.49,-8.50,-8.33
"Other Operating Expenses, Total",0.54,2.79,12.64,-3.94,2.46
Total Operating Expense,128.36,118.19,132.18,80.55,80.56
Operating Income,10.22,30.87,-7.20,23.52,23.72
"Interest Inc.(Exp.),Net-Non-Op., Total",-16.13,-19.89,-19.87,-22.11,-16.17
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-5.91,10.98,-27.07,1.40,7.55
Provision for Income Taxes,3.00,6.00,-3.23,11.79,3.53
Net Income After Taxes,-8.91,4.99,-23.85,-10.39,4.02
Net Income Before Extra. Items,-8.91,4.99,-23.85,-10.39,4.02
Net Income,-8.91,4.99,-23.85,-12.82,4.02
Income Available to Com Excl ExtraOrd,-8.91,4.99,-23.85,-10.39,4.02
Income Available to Com Incl ExtraOrd,-8.91,4.99,-23.85,-12.82,4.02
Diluted Net Income,-8.91,4.99,-23.85,-12.82,4.02
Diluted Weighted Average Shares,287.01,287.01,287.01,287.01,287.01
Diluted EPS Excluding ExtraOrd Items,-0.03,0.02,-0.08,-0.04,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.04,-0.01,-0.07,-0.06,-0.00
