Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,362.67,410.33,422.61,420.79,399.60
Total Revenue,362.67,410.33,422.61,420.79,399.60
"Selling/General/Admin. Expenses, Total",124.22,162.17,189.24,183.53,193.86
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.14,0.00,0,0.06,35.53
"Other Operating Expenses, Total",-12.74,20.57,-15.30,-3.98,-3.70
Total Operating Expense,359.16,459.77,442.37,438.51,465.49
Operating Income,3.51,-49.44,-19.77,-17.72,-65.90
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-5.57,-6.43,-20.78
"Other, Net",0,0,-0.09,-0.14,-0.40
Net Income Before Taxes,3.51,-49.44,-25.43,-24.29,-87.07
Provision for Income Taxes,2.06,4.10,2.43,2.16,1.47
Net Income After Taxes,1.46,-53.54,-27.87,-26.45,-88.54
Net Income Before Extra. Items,2.86,-52.41,-26.41,-25.05,-88.54
Net Income,2.86,-52.41,-26.41,-35.46,-100.94
Income Available to Com Excl ExtraOrd,2.86,-52.41,-26.41,-25.05,-88.54
Income Available to Com Incl ExtraOrd,2.86,-52.41,-26.41,-35.46,-100.94
Diluted Net Income,2.86,-52.41,-26.41,-35.46,-100.94
Diluted Weighted Average Shares,141.07,141.07,130.98,230.40,247.11
Diluted EPS Excluding ExtraOrd Items,0.02,-0.37,-0.20,-0.11,-0.36
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.03,-0.22,-0.23,-0.11,-0.26
