Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,650.50,723.02,724.15,709.07,590.38
Total Revenue,650.50,723.02,724.15,709.07,590.38
"Selling/General/Admin. Expenses, Total",88.03,122.71,123.61,119.52,102.20
Depreciation/Amortisation,3.81,4.99,5.15,6.89,8.24
Unusual Expense (Income),0.86,0,0,0.00,0.04
"Other Operating Expenses, Total",-3.94,-7.07,-7.36,-5.56,-13.40
Total Operating Expense,602.53,681.01,708.34,682.28,571.84
Operating Income,47.97,42.01,15.81,26.78,18.54
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-13.69,-18.24,-17.93,-14.56
"Other, Net",0,0,0,0,0
Net Income Before Taxes,47.97,28.32,-2.42,8.86,3.98
Provision for Income Taxes,7.04,2.64,-0.20,-0.37,-0.75
Net Income After Taxes,40.93,25.68,-2.22,9.23,4.73
Net Income Before Extra. Items,40.93,25.68,-2.22,9.23,4.73
Net Income,40.93,25.68,-2.22,9.23,4.73
Income Available to Com Excl ExtraOrd,40.93,25.68,-2.22,9.23,4.73
Income Available to Com Incl ExtraOrd,40.93,25.68,-2.22,9.23,4.73
Diluted Net Income,40.93,25.68,-2.22,9.23,4.73
Diluted Weighted Average Shares,70.32,70.32,70.32,70.32,70.32
Diluted EPS Excluding ExtraOrd Items,0.58,0.37,-0.03,0.13,0.07
DPS - Common Stock Primary Issue,0.06,0.02,0.00,0.01,0.01
Diluted Normalised EPS,0.59,0.37,-0.03,0.13,0.07
