Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,1078.21,1308.72,1796.98,1731.55,1102.99
Total Revenue,1078.21,1308.72,1796.98,1731.55,1102.99
"Selling/General/Admin. Expenses, Total",63.55,68.80,84.14,89.21,76.29
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,0.00,0.00,-2.54,-59.00
"Other Operating Expenses, Total",-15.90,6.29,0.39,2.34,0.83
Total Operating Expense,994.73,1230.26,1746.41,1666.51,1027.81
Operating Income,83.48,78.46,50.57,65.04,75.18
"Interest Inc.(Exp.),Net-Non-Op., Total",-12.00,-25.67,-20.42,-19.71,-9.20
"Other, Net",0,0,0,0,0
Net Income Before Taxes,71.48,52.79,30.15,45.34,65.97
Provision for Income Taxes,14.78,20.61,13.33,18.43,24.79
Net Income After Taxes,56.70,32.18,16.82,26.90,41.19
Net Income Before Extra. Items,55.32,30.93,16.36,26.37,38.61
Net Income,46.83,31.78,16.36,26.37,38.61
Income Available to Com Excl ExtraOrd,55.32,30.93,16.36,26.37,38.61
Income Available to Com Incl ExtraOrd,46.83,31.78,16.36,26.37,38.61
Diluted Net Income,46.83,31.78,16.36,26.37,38.61
Diluted Weighted Average Shares,325.71,325.97,326.07,326.07,407.59
Diluted EPS Excluding ExtraOrd Items,0.17,0.09,0.05,0.08,0.09
DPS - Common Stock Primary Issue,0.00,0.00,0,0,0
Diluted Normalised EPS,0.17,0.10,0.05,0.08,0.00
