Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-18.67,-38.08,9.86,11.23,-11.45
Depreciation/Depletion,14.47,13.21,11.68,10.64,9.43
Non-Cash Items,2.18,14.05,-14.13,-3.58,6.23
Cash Taxes Paid,0.49,0,0,0.31,0.00
Changes in Working Capital,1.56,-0.25,8.40,-42.28,11.04
Cash from Operating Activities,-0.12,-10.74,16.13,-23.89,15.40
Capital Expenditures,-2.35,-1.10,-1.02,-1.37,-4.02
"Other Investing Cash Flow Items, Total",0.05,0.01,-19.07,0.22,-19.77
Cash from Investing Activities,-2.31,-1.09,-20.09,-1.14,-23.78
Total Cash Dividends Paid,0,0,0,0,-5.84
"Issuance (Retirement) of Stock, Net",0,-0.22,-0.32,-1.82,-0.64
Cash from Financing Activities,-4.50,-0.22,-18.31,18.10,-6.61
Foreign Exchange Effects,0.26,0.04,0.10,0.01,-0.23
Net Change in Cash,-6.67,-12.01,-22.17,-6.93,-15.22
