Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,78.52,65.43,111.21,171.00,93.92
Total Revenue,78.52,65.43,111.21,171.00,93.92
"Selling/General/Admin. Expenses, Total",42.04,45.83,31.50,24.58,25.37
Depreciation/Amortisation,0.33,0.33,0.32,0.09,0.14
Unusual Expense (Income),0.08,0.01,-11.71,-0.97,2.52
"Other Operating Expenses, Total",-1.04,0.05,0.10,0.00,0
Total Operating Expense,97.19,103.05,101.30,159.76,105.36
Operating Income,-18.67,-37.62,9.90,11.24,-11.44
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.45,-0.04,-0.00,-0.00
"Other, Net",0,-0.01,-0.00,-0.00,-0.01
Net Income Before Taxes,-18.67,-38.08,9.86,11.23,-11.45
Provision for Income Taxes,0.10,0.00,-0.63,-0.37,-0.06
Net Income After Taxes,-18.77,-38.08,10.49,11.60,-11.39
Net Income Before Extra. Items,-18.77,-38.08,10.49,11.60,-11.39
Net Income,-18.77,-38.08,10.49,11.60,-11.39
Income Available to Com Excl ExtraOrd,-18.77,-38.08,10.49,11.60,-11.39
Income Available to Com Incl ExtraOrd,-18.77,-38.08,10.49,11.60,-11.39
Diluted Net Income,-18.77,-38.08,10.49,11.60,-11.39
Diluted Weighted Average Shares,50.33,50.32,50.32,50.08,48.58
Diluted EPS Excluding ExtraOrd Items,-0.37,-0.76,0.21,0.23,-0.23
DPS - Common Stock Primary Issue,0,0,0,0.12,0
Diluted Normalised EPS,-0.37,-0.76,0.06,0.22,-0.20
