Fiscal Year,2012,2013,2014,2015,2016
Period Ended,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015,31 Dec 2016
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,70.78,16.56,-59.39,-300.02,-64.69
Depreciation/Depletion,97.40,95.53,90.61,90.72,54.90
Non-Cash Items,59.58,51.88,50.58,346.68,84.50
Cash Taxes Paid,21.94,13.14,5.55,4.64,3.54
Changes in Working Capital,-116.60,-285.98,193.83,77.47,-204.37
Cash from Operating Activities,111.16,-122.01,275.63,214.85,-129.67
Capital Expenditures,-5.27,-23.84,-105.69,-35.30,-0.84
"Other Investing Cash Flow Items, Total",-33.58,-2.31,-12.81,0.56,28.25
Cash from Investing Activities,-38.85,-26.15,-118.50,-34.73,27.41
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-131.27,137.21,-192.22,-197.85,75.79
Foreign Exchange Effects,-1.64,-0.74,0.00,1.55,0.60
Net Change in Cash,-60.60,-11.68,-35.10,-16.18,-25.87
