Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,30.01,18.46,18.08,17.13,32.70
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,30.01,18.46,18.08,17.13,32.70
"Accounts Receivable - Trade, Net",35.82,48.35,49.27,46.55,31.78
"Total Receivables, Net",40.71,49.78,54.22,51.71,34.86
Prepaid Expenses,2.87,5.43,8.33,13.38,9.19
"Other Current Assets, Total",0,1.04,1.04,0.00,0
Total Current Assets,89.22,96.14,103.49,108.58,102.78
"Property/Plant/Equipment, Total - Gross",15.95,0,45.09,47.02,26.18
"Accumulated Depreciation, Total",-4.65,0,-23.04,-24.51,-16.22
"Property/Plant/Equipment, Total - Net",11.30,27.38,22.05,22.51,9.96
"Goodwill, Net",11.98,0,11.81,12.01,11.66
"Intangibles, Net",2.34,13.82,1.04,1.68,0.87
Long Term Investments,0,0,0,0,0
Total Assets,117.08,140.57,141.33,149.91,129.72
Accounts Payable,15.91,29.15,15.79,16.92,16.33
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,7.73,7.49,5.15,7.27,11.67
"Other Current liabilities, Total",13.24,23.90,40.17,56.72,28.22
Total Current Liabilities,42.76,66.31,65.95,87.36,63.67
Total Long Term Debt,4.48,8.16,4.09,13.29,9.99
Total Debt,18.09,21.41,14.09,27.00,29.10
Deferred Income Tax,0.51,0.63,0.14,0.06,0.07
"Other Liabilities, Total",2.25,1.63,2.09,2.50,3.49
Total Liabilities,50.00,76.73,72.29,103.21,77.21
"Common Stock, Total",70.07,70.94,71.70,71.70,74.54
Retained Earnings (Accumulated Deficit),15.63,-7.10,13.75,17.52,20.22
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-18.83,0,-16.49,-42.72,-42.45
Total Equity,67.08,63.84,69.04,46.70,52.50
Total Liabilities & Shareholders' Equity,117.08,140.57,141.33,149.91,129.72
Total Common Shares Outstanding,280.00,282.06,284.69,284.69,293.69
"Tangible Book Value per Share, Common Eq",0.19,0.18,0.20,0.12,0.14
