Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.61,-2.28,10.08,4.74,4.03
Depreciation/Depletion,3.68,7.70,8.38,10.38,6.70
Non-Cash Items,1.87,3.86,6.61,4.47,10.02
Cash Taxes Paid,1.20,1.35,3.85,3.11,1.93
Changes in Working Capital,-14.54,3.35,-14.64,-1.91,5.94
Cash from Operating Activities,-0.62,13.38,11.04,18.41,27.48
Capital Expenditures,-5.39,-5.68,-3.49,-2.87,-1.38
"Other Investing Cash Flow Items, Total",4.53,-20.58,-3.51,1.73,4.11
Cash from Investing Activities,-0.86,-26.25,-7.00,-1.15,2.73
Total Cash Dividends Paid,0,-1.33,0.00,0,0
"Issuance (Retirement) of Stock, Net",38.57,0,0,0,0
Cash from Financing Activities,23.65,2.27,-9.06,-16.23,-10.50
Foreign Exchange Effects,-0.01,0.01,0.03,-0.08,-0.07
Net Change in Cash,22.16,-10.59,-5.00,0.95,19.63
