Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,829.99,819.20,748.31,306.20,477.68
Depreciation/Depletion,276.49,298.53,321.57,393.00,413.15
Non-Cash Items,101.82,108.04,68.78,376.31,170.67
Cash Taxes Paid,159.36,130.42,113.66,111.09,48.73
Changes in Working Capital,-713.57,-667.84,-1002.18,-1192.81,-775.33
Cash from Operating Activities,523.39,616.65,205.54,-26.10,428.89
Capital Expenditures,-795.72,-1762.89,-2439.92,-1000.32,-1492.44
"Other Investing Cash Flow Items, Total",-578.91,91.08,356.79,-140.50,131.50
Cash from Investing Activities,-1374.62,-1671.82,-2083.13,-1140.82,-1360.93
Total Cash Dividends Paid,0.00,-303.50,-350.71,0.00,0
"Issuance (Retirement) of Stock, Net",963.59,5.59,515.48,9.60,0.00
Cash from Financing Activities,1011.58,1834.97,1423.51,746.57,846.71
Foreign Exchange Effects,0,-44.20,35.11,4.99,4.53
Net Change in Cash,160.34,735.60,-418.97,-415.36,-80.81
