Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.79,-14.03,2.35,1.71,1.12
Depreciation/Depletion,1.06,1.04,0.65,0.59,0.63
Non-Cash Items,1.04,13.06,-1.05,-1.34,-0.51
Cash Taxes Paid,0.28,0.28,0.36,0.38,0.12
Changes in Working Capital,-0.70,-0.09,-0.12,1.78,1.36
Cash from Operating Activities,-0.40,-0.01,1.83,2.74,2.59
Capital Expenditures,-0.28,-0.22,-0.16,-0.06,-0.10
"Other Investing Cash Flow Items, Total",-5.04,2.13,10.94,-0.48,0.42
Cash from Investing Activities,-5.33,1.91,10.78,-0.54,0.33
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0.05,0.00,0
Cash from Financing Activities,0.10,-6.85,-7.57,-7.22,0.41
Foreign Exchange Effects,0.05,-0.11,0.06,0.01,0.00
Net Change in Cash,-5.57,-5.07,5.10,-5.01,3.33
