Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3905.45,3829.20,4222.56,3428.73,2108.43
Total Revenue,3905.45,3829.20,4222.56,3428.73,2108.43
"Selling/General/Admin. Expenses, Total",560.20,551.67,553.13,601.86,823.02
Depreciation/Amortisation,150.94,146.39,142.68,179.28,179.59
Unusual Expense (Income),-104.79,-41.95,56.41,-107.04,545.46
"Other Operating Expenses, Total",169.48,169.32,184.91,213.75,24.98
Total Operating Expense,2982.33,3032.07,3317.99,2774.79,2960.07
Operating Income,923.13,797.12,904.58,653.93,-851.64
"Interest Inc.(Exp.),Net-Non-Op., Total",3.60,-31.30,-27.25,108.92,-929.99
"Other, Net",-12.74,-2.54,-1.79,-8.78,-9.18
Net Income Before Taxes,913.99,763.28,875.54,754.08,-1790.81
Provision for Income Taxes,151.43,105.97,214.76,140.72,87.70
Net Income After Taxes,762.56,657.31,660.78,613.36,-1878.51
Net Income Before Extra. Items,653.22,522.18,557.33,564.58,-1917.39
Net Income,653.22,522.18,557.33,564.58,-1917.39
Income Available to Com Excl ExtraOrd,640.30,509.28,544.43,551.67,-1930.30
Income Available to Com Incl ExtraOrd,640.30,509.28,544.43,551.67,-1930.30
Diluted Net Income,653.22,509.28,544.43,564.58,-1930.30
Diluted Weighted Average Shares,954.30,954.30,953.58,951.90,906.90
Diluted EPS Excluding ExtraOrd Items,0.68,0.53,0.57,0.59,-2.13
DPS - Common Stock Primary Issue,0.12,0.12,0.14,0.14,0.08
Diluted Normalised EPS,0.59,0.50,0.62,0.50,-1.74
