Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,135.50,86.96,93.78,121.54,156.25
Short Term Investments,253.08,65.07,113.55,241.03,165.77
Cash and Short Term Investments,388.57,152.03,207.33,362.57,322.03
"Accounts Receivable - Trade, Net",47.09,234.74,592.55,558.40,723.06
"Total Receivables, Net",69.09,267.13,637.95,594.46,756.68
Prepaid Expenses,4.02,5.10,2.71,4.82,5.52
"Other Current Assets, Total",114.88,132.54,138.69,23.54,58.91
Total Current Assets,1704.29,2132.40,2399.16,2361.44,2240.16
"Property/Plant/Equipment, Total - Gross",243.29,358.94,420.04,548.70,656.00
"Accumulated Depreciation, Total",-23.68,-34.45,-55.82,-81.64,-120.30
"Property/Plant/Equipment, Total - Net",219.60,324.49,364.22,467.07,535.70
"Goodwill, Net",0,0.00,9.34,32.49,34.57
"Intangibles, Net",2.20,1.87,7.33,15.46,15.31
Long Term Investments,303.06,258.65,260.11,338.30,336.03
Total Assets,2232.24,2805.91,3086.54,3255.12,3200.41
Accounts Payable,79.32,53.76,53.60,63.11,65.45
Accrued Expenses,42.19,43.80,36.64,87.53,110.79
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",46.53,117.01,132.21,82.47,105.85
Total Current Liabilities,402.22,223.30,352.22,474.33,490.47
Total Long Term Debt,936.74,1524.08,1681.36,1631.22,1707.10
Total Debt,1170.92,1532.81,1811.13,1872.44,1915.48
Deferred Income Tax,9.97,21.04,38.17,35.96,26.22
"Other Liabilities, Total",106.69,212.78,140.73,166.34,159.35
Total Liabilities,1466.37,2017.59,2269.19,2336.85,2391.04
"Common Stock, Total",79.69,79.69,79.69,175.98,175.98
Retained Earnings (Accumulated Deficit),735.76,739.64,778.40,785.47,667.09
Treasury Stock - Common,-34.19,-34.19,-30.90,-30.90,-30.64
Unrealised Gain (Loss),7.86,2.66,2.61,2.61,2.79
"Other Equity, Total",-23.26,0.53,-12.45,-14.89,-5.85
Total Equity,765.87,788.33,817.35,918.27,809.37
Total Liabilities & Shareholders' Equity,2232.24,2805.91,3086.54,3255.12,3200.41
Total Common Shares Outstanding,621.01,621.01,626.01,782.52,782.93
"Tangible Book Value per Share, Common Eq",1.23,1.27,1.28,1.11,0.97
