Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,69.18,0,21.83,21.87,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,69.18,25.72,21.83,21.87,22.66
"Accounts Receivable - Trade, Net",9.60,9.96,10.31,10.77,16.81
"Total Receivables, Net",9.75,10.16,10.49,10.96,16.97
Prepaid Expenses,0.75,0.74,0.72,1.02,1.09
"Other Current Assets, Total",2.25,0.01,0.31,0.03,30.87
Total Current Assets,81.94,36.63,33.36,33.87,71.59
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0,0
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1657.21,1731.06,1860.53,1966.14,1991.02
Total Assets,1739.35,1771.22,1894.13,2003.03,2066.97
Accounts Payable,5.96,5.49,5.65,5.82,6.04
Accrued Expenses,0.81,0.66,0.60,1.09,0.47
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",9.65,7.91,8.47,10.61,15.97
Total Current Liabilities,42.74,36.46,22.15,102.89,192.78
Total Long Term Debt,612.54,626.38,683.18,664.42,630.62
Total Debt,628.79,642.28,683.18,742.17,793.65
Deferred Income Tax,20.73,23.74,28.96,32.60,37.66
"Other Liabilities, Total",25.71,19.30,23.44,21.27,22.30
Total Liabilities,701.72,705.88,757.74,821.18,883.36
"Common Stock, Total",684.18,672.02,659.49,646.48,632.33
Retained Earnings (Accumulated Deficit),352.96,387.75,473.74,530.70,550.05
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.50,5.58,3.17,4.66,1.24
Total Equity,1037.64,1065.34,1136.39,1181.85,1183.62
Total Liabilities & Shareholders' Equity,1739.35,1771.22,1894.13,2003.03,2066.97
Total Common Shares Outstanding,605.00,605.00,605.00,605.00,605.00
"Tangible Book Value per Share, Common Eq",1.72,1.76,1.88,1.95,1.96
