Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,21.78,35.49,81.29,114.39,130.03
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,21.78,35.49,81.29,114.39,130.03
"Accounts Receivable - Trade, Net",9.03,7.36,4.61,3.00,15.22
"Total Receivables, Net",9.03,12.77,10.26,9.18,15.22
Prepaid Expenses,0.94,1.66,1.69,1.37,0
"Other Current Assets, Total",1.51,1.20,0.04,0.04,5.61
Total Current Assets,237.14,232.31,256.04,268.31,365.29
"Property/Plant/Equipment, Total - Gross",36.02,39.83,39.99,82.92,0
"Accumulated Depreciation, Total",-18.94,-22.12,-24.65,-26.08,0
"Property/Plant/Equipment, Total - Net",17.08,17.72,15.35,56.84,111.06
"Goodwill, Net",0,0,0,0,0.95
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2.54,2.52,6.88,6.86,7.65
Total Assets,262.56,258.81,284.29,339.60,496.29
Accounts Payable,0.14,0.00,0.00,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,47.29,18.05,10.51,3.87,0
"Other Current liabilities, Total",5.78,9.32,18.88,17.44,58.89
Total Current Liabilities,86.01,66.96,73.81,67.53,148.34
Total Long Term Debt,9.09,4.12,0.49,27.45,70.45
Total Debt,72.21,44.12,23.98,49.99,98.30
Deferred Income Tax,0.05,0.04,0.00,0,0
"Other Liabilities, Total",1.41,1.79,2.54,3.03,7.79
Total Liabilities,103.06,80.56,84.91,107.83,237.84
"Common Stock, Total",35.48,35.48,35.48,35.48,35.48
Retained Earnings (Accumulated Deficit),132.85,141.40,162.92,192.59,222.97
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-8.83,1.37,0.98,3.70,0
Total Equity,159.50,178.26,199.38,231.77,258.45
Total Liabilities & Shareholders' Equity,262.56,258.81,284.29,339.60,496.29
Total Common Shares Outstanding,165.58,165.58,165.58,165.58,165.58
"Tangible Book Value per Share, Common Eq",0.96,1.08,1.20,1.40,1.56
