Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,993.60,0,0,0,0
Short Term Investments,2926.80,157.80,116.80,423.50,271.80
Cash and Short Term Investments,3920.40,2726.10,3060.80,3108.80,8054.80
"Accounts Receivable - Trade, Net",1144.60,1400.90,1527.20,820.50,939.50
"Total Receivables, Net",1221.70,1466.00,1597.00,1126.30,1035.90
Prepaid Expenses,211.00,184.60,164.90,121.10,80.70
"Other Current Assets, Total",168.50,411.00,447.10,247.40,305.70
Total Current Assets,5700.00,4967.00,5499.70,4842.90,9672.00
"Property/Plant/Equipment, Total - Gross",29304.20,22821.30,27210.90,33466.00,34805.50
"Accumulated Depreciation, Total",-12870.90,-4652.10,-5034.60,-6502.50,-8926.50
"Property/Plant/Equipment, Total - Net",16433.30,18169.20,22176.30,26963.50,25879.00
"Goodwill, Net",170.40,170.40,184.40,184.40,14.00
"Intangibles, Net",253.10,264.90,266.90,302.60,287.10
Long Term Investments,1622.80,1545.40,1620.10,1073.70,1083.20
Total Assets,24720.00,25892.50,30505.20,33712.80,37581.30
Accounts Payable,3234.10,2729.70,3081.70,2953.40,2034.20
Accrued Expenses,0,32.00,45.40,46.20,71.70
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3012.50,3760.40,4017.20,4848.50,2208.80
Total Current Liabilities,6288.60,6565.70,7378.40,11002.10,5713.20
Total Long Term Debt,1525.80,3106.70,6423.30,8630.50,12938.40
Total Debt,1567.80,3127.30,6654.40,11784.50,14336.90
Deferred Income Tax,1890.50,1840.60,2040.30,1335.30,1032.50
"Other Liabilities, Total",1544.90,1151.10,980.00,3012.20,1619.10
Total Liabilities,11637.00,13032.20,17218.40,24398.70,21675.40
"Common Stock, Total",1856.10,1856.10,1856.10,1856.10,7180.20
Retained Earnings (Accumulated Deficit),11779.70,10926.60,11175.70,9770.20,5558.30
Treasury Stock - Common,-194.70,-183.50,-171.50,-156.00,-133.20
Unrealised Gain (Loss),-234.40,313.50,459.70,-2150.90,-178.60
"Other Equity, Total",-123.70,-52.40,-33.20,-5.30,3479.20
Total Equity,13083.00,12860.30,13286.80,9314.10,15905.90
Total Liabilities & Shareholders' Equity,24720.00,25892.50,30505.20,33712.80,37581.30
Total Common Shares Outstanding,1676.87,1678.38,1679.98,1682.06,2964.97
"Tangible Book Value per Share, Common Eq",7.55,7.40,7.64,5.25,5.26
