Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,104.21,95.35,112.03,183.89,252.06
Depreciation/Depletion,22.52,25.87,23.00,177.98,112.27
Non-Cash Items,-10.35,-8.87,-5.11,47.57,38.17
Cash Taxes Paid,15.11,26.81,27.47,25.98,51.85
Changes in Working Capital,-45.30,4.57,-68.84,-203.54,-48.65
Cash from Operating Activities,71.08,116.91,61.08,205.90,353.84
Capital Expenditures,-32.81,-12.67,-69.25,-290.92,-383.18
"Other Investing Cash Flow Items, Total",10.10,-144.76,11.39,67.57,123.89
Cash from Investing Activities,-22.71,-157.42,-57.86,-223.35,-259.29
Total Cash Dividends Paid,-15.35,-15.71,-15.35,-15.94,0.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-15.35,-15.71,-15.35,-342.52,191.24
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,33.01,-56.22,-12.13,-359.97,285.79
