Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,70.90,71.20,0,0,0
Short Term Investments,214.30,274.00,0,0,0
Cash and Short Term Investments,285.20,345.20,166.00,117.60,415.40
"Accounts Receivable - Trade, Net",309.40,511.40,570.70,604.70,529.50
"Total Receivables, Net",331.20,515.00,575.40,622.50,551.10
Prepaid Expenses,65.40,76.60,84.70,66.20,70.60
"Other Current Assets, Total",9.60,25.50,29.50,37.20,42.60
Total Current Assets,741.00,1034.20,930.80,941.80,1159.60
"Property/Plant/Equipment, Total - Gross",3768.00,3639.70,3781.50,3726.20,3796.90
"Accumulated Depreciation, Total",-2850.00,-2769.60,-2888.30,-2755.90,-2891.80
"Property/Plant/Equipment, Total - Net",918.00,870.10,893.20,970.30,905.10
"Goodwill, Net",220.30,239.50,346.90,346.90,406.30
"Intangibles, Net",243.50,318.10,341.10,325.40,313.20
Long Term Investments,65.90,83.70,58.70,56.40,41.90
Total Assets,2196.30,2636.00,2653.50,2733.90,2931.30
Accounts Payable,158.40,169.90,197.00,208.60,155.60
Accrued Expenses,472.10,495.60,444.00,359.00,412.50
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",215.00,228.40,201.00,174.50,168.40
Total Current Liabilities,855.50,1013.90,892.10,1176.30,772.90
Total Long Term Debt,977.50,857.50,978.40,769.70,1293.60
Total Debt,987.50,977.50,1028.50,1203.90,1330.00
Deferred Income Tax,145.40,135.40,129.20,121.40,111.30
"Other Liabilities, Total",23.00,23.30,65.80,86.40,127.00
Total Liabilities,2001.40,2034.50,2145.50,2215.80,2393.00
"Common Stock, Total",299.70,299.70,299.70,299.70,299.70
Retained Earnings (Accumulated Deficit),-110.70,100.70,16.20,27.00,66.60
Treasury Stock - Common,-12.30,-8.20,-3.00,-0.10,-1.90
Unrealised Gain (Loss),12.50,18.10,-5.90,-7.60,-24.70
"Other Equity, Total",5.70,191.20,201.00,199.10,198.60
Total Equity,194.90,601.50,508.00,518.10,538.30
Total Liabilities & Shareholders' Equity,2196.30,2636.00,2653.50,2733.90,2931.30
Total Common Shares Outstanding,1727.76,1731.65,1731.65,1731.65,1730.15
"Tangible Book Value per Share, Common Eq",-0.16,0.03,-0.10,-0.09,-0.10
