Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,410.30,333.30,245.50,218.60,192.80
Depreciation/Depletion,265.00,280.40,291.20,361.20,306.50
Non-Cash Items,-7.20,30.00,31.60,40.90,42.50
Cash Taxes Paid,53.70,65.30,68.60,71.90,59.10
Changes in Working Capital,-117.40,-126.50,-150.00,-172.60,37.10
Cash from Operating Activities,550.70,517.20,418.30,448.10,578.90
Capital Expenditures,-366.70,-295.90,-272.80,-229.50,-191.20
"Other Investing Cash Flow Items, Total",-22.60,-31.20,-61.90,6.60,-65.50
Cash from Investing Activities,-389.30,-327.10,-334.70,-222.90,-256.70
Total Cash Dividends Paid,-346.20,-293.90,-276.90,-186.10,-82.20
"Issuance (Retirement) of Stock, Net",-12.30,0,0,-1.50,-5.10
Cash from Financing Activities,-49.60,-130.10,-263.40,-273.70,-35.40
Foreign Exchange Effects,0.00,0,0,0,0
Net Change in Cash,111.80,60.00,-179.80,-48.50,286.80
