Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2396.70,2410.70,2362.00,2330.60,2028.80
Total Revenue,2396.70,2410.70,2362.00,2330.60,2028.80
"Selling/General/Admin. Expenses, Total",649.90,613.90,601.70,521.00,468.30
Depreciation/Amortisation,265.00,280.40,291.20,361.20,306.50
Unusual Expense (Income),0.00,0.00,2.60,0.00,0
"Other Operating Expenses, Total",77.20,-927.80,-957.00,118.80,70.90
Total Operating Expense,1971.60,2048.30,2088.50,2074.80,1797.50
Operating Income,425.10,362.40,273.50,255.80,231.30
"Interest Inc.(Exp.),Net-Non-Op., Total",-14.80,-28.40,-28.00,-37.20,-36.00
"Other, Net",0,-0.70,0.00,0,-2.50
Net Income Before Taxes,410.30,333.30,245.50,218.60,192.80
Provision for Income Taxes,68.90,59.80,44.90,40.00,32.70
Net Income After Taxes,341.40,273.50,200.60,178.60,160.10
Net Income Before Extra. Items,341.40,272.90,201.70,186.30,157.90
Net Income,341.40,272.90,201.70,186.30,157.90
Income Available to Com Excl ExtraOrd,341.40,272.90,201.70,178.40,150.00
Income Available to Com Incl ExtraOrd,341.40,272.90,201.70,178.40,150.00
Diluted Net Income,341.40,268.60,193.80,178.40,150.00
Diluted Weighted Average Shares,1734.47,1736.05,1735.04,1736.05,1739.22
Diluted EPS Excluding ExtraOrd Items,0.20,0.15,0.11,0.10,0.09
DPS - Common Stock Primary Issue,0.20,0.16,0.16,0.09,0.05
Diluted Normalised EPS,0.20,0.15,0.11,0.10,0.09
