Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,200.76,220.88,257.28,384.31,545.61
Total Revenue,200.76,220.88,257.28,384.31,545.61
"Selling/General/Admin. Expenses, Total",101.40,87.08,127.29,155.94,229.01
Depreciation/Amortisation,2.73,0,0,0,0
Unusual Expense (Income),0.31,-0.01,4.04,-0.28,0
"Other Operating Expenses, Total",-3.47,-5.68,-15.95,-0.92,-5.81
Total Operating Expense,149.83,153.12,171.91,264.75,357.16
Operating Income,50.93,67.76,85.37,119.56,188.45
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-0.21,0.69
"Other, Net",0,0,0,0,0
Net Income Before Taxes,50.93,67.76,85.37,119.35,189.14
Provision for Income Taxes,16.53,12.61,21.44,29.80,56.78
Net Income After Taxes,34.41,55.15,63.93,89.55,132.36
Net Income Before Extra. Items,34.57,55.67,64.25,89.62,132.57
Net Income,34.57,55.67,64.25,89.62,132.57
Income Available to Com Excl ExtraOrd,34.57,55.67,64.25,89.62,132.57
Income Available to Com Incl ExtraOrd,34.57,55.67,64.25,89.62,132.57
Diluted Net Income,34.57,55.67,64.25,89.62,132.57
Diluted Weighted Average Shares,550.46,550.32,549.70,545.94,544.10
Diluted EPS Excluding ExtraOrd Items,0.06,0.10,0.12,0.16,0.24
DPS - Common Stock Primary Issue,0.02,0.04,0.05,0.01,0
Diluted Normalised EPS,0.06,0.10,0.12,0.16,0.24
