Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,Interim Report,ARS,ARS,ARS,ARS
Cash,1953.27,1170.47,492.01,427.23,397.62
Short Term Investments,0,546.26,207.19,42.90,36.71
Cash and Short Term Investments,1953.27,1716.74,699.20,470.13,434.33
"Accounts Receivable - Trade, Net",2434.08,2407.41,665.13,534.88,465.80
"Total Receivables, Net",2526.31,2469.34,679.76,570.45,543.55
Prepaid Expenses,1166.09,320.75,191.39,165.02,119.99
"Other Current Assets, Total",7158.56,4020.47,2010.50,452.83,263.90
Total Current Assets,14595.76,10170.33,3747.26,1764.59,1545.42
"Property/Plant/Equipment, Total - Gross",1239.92,1175.55,728.14,226.47,362.24
"Accumulated Depreciation, Total",-390.93,-402.98,-316.55,-0.65,-59.33
"Property/Plant/Equipment, Total - Net",848.99,772.58,411.59,225.83,307.79
"Goodwill, Net",229.30,48.34,2.55,0,0
"Intangibles, Net",102.55,76.74,0.00,0,0
Long Term Investments,827.85,686.04,291.50,395.62,500.32
Total Assets,17051.98,12284.64,4809.48,2750.34,2728.69
Accounts Payable,3731.01,2504.43,371.90,270.27,259.68
Accrued Expenses,917.03,578.54,0,0,1.71
Notes Payable/Short Term Debt,0.00,0.00,0.00,9.26,7.62
"Other Current liabilities, Total",3183.61,1173.09,1085.68,158.77,225.77
Total Current Liabilities,10319.70,5549.49,3596.74,756.61,698.61
Total Long Term Debt,3433.10,2749.43,2013.65,1678.36,1786.32
Total Debt,5921.16,4042.85,3582.05,1687.61,1833.39
Deferred Income Tax,1.32,6.15,0.00,0,1.84
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,13759.91,8310.35,5614.55,2619.42,2671.76
"Common Stock, Total",216.36,427.01,427.01,6.64,6.64
Retained Earnings (Accumulated Deficit),1079.62,1132.79,-3813.67,95.63,38.50
Treasury Stock - Common,-102.08,-88.70,0.00,0,0
Unrealised Gain (Loss),1.35,6.00,7.25,3.20,-11.44
"Other Equity, Total",47.14,173.30,326.37,25.47,23.23
Total Equity,3292.07,3974.28,-805.07,130.93,56.93
Total Liabilities & Shareholders' Equity,17051.98,12284.64,4809.48,2750.34,2728.69
Total Common Shares Outstanding,864.69,1309.75,1327.48,663.76,663.76
"Tangible Book Value per Share, Common Eq",3.42,2.94,-0.61,0.20,0.09
