Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,66712.40,8666.50,6433.79,198.61,3511.07
Total Revenue,66712.40,8666.50,6433.79,198.61,3511.07
"Selling/General/Admin. Expenses, Total",532.43,386.85,499.12,4.80,149.07
Depreciation/Amortisation,30.54,30.27,25.99,0.05,6.36
Unusual Expense (Income),711.66,-219.50,705.74,-0.33,92.16
"Other Operating Expenses, Total",96.27,71.47,66.61,0.05,10.79
Total Operating Expense,68251.43,8501.01,10169.69,200.70,3428.04
Operating Income,-1539.02,165.49,-3735.91,-2.08,83.03
"Interest Inc.(Exp.),Net-Non-Op., Total",-174.60,-145.01,-179.28,-3.08,-131.37
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1713.62,20.48,-3915.18,-5.16,-48.35
Provision for Income Taxes,-43.17,68.58,-29.26,1.21,7.97
Net Income After Taxes,-1670.45,-48.09,-3885.92,-6.38,-56.31
Net Income Before Extra. Items,-1672.01,-47.58,-3884.80,-6.23,-55.97
Net Income,-1672.01,8.65,-4938.23,-6.23,-55.97
Income Available to Com Excl ExtraOrd,-1696.01,-71.58,-3909.19,-6.23,-55.97
Income Available to Com Incl ExtraOrd,-1696.01,-15.35,-4962.62,-6.23,-55.97
Diluted Net Income,-1696.01,-15.35,-4962.62,-6.23,-55.97
Diluted Weighted Average Shares,857.90,1083.14,1309.25,663.76,663.76
Diluted EPS Excluding ExtraOrd Items,-1.98,-0.07,-2.99,-0.01,-0.08
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,-1.44,-0.20,-2.64,-0.01,0.01
