Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,365.04,391.92,428.49,423.08,433.04
Total Revenue,365.04,391.92,428.49,423.08,433.04
"Selling/General/Admin. Expenses, Total",82.01,82.04,93.57,90.37,84.53
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-8.60,-0.32,-3.72,-0.78,-10.39
Total Operating Expense,305.76,335.00,363.32,354.38,373.59
Operating Income,59.29,56.91,65.17,68.71,59.45
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-0.33,-0.41
"Other, Net",0,0,0,0,0
Net Income Before Taxes,59.29,56.91,65.17,68.37,59.04
Provision for Income Taxes,10.85,10.47,12.75,12.60,9.25
Net Income After Taxes,48.43,46.45,52.42,55.78,49.79
Net Income Before Extra. Items,41.09,41.33,48.18,51.60,46.87
Net Income,41.09,41.33,48.18,51.60,46.87
Income Available to Com Excl ExtraOrd,41.09,41.33,48.18,51.60,46.87
Income Available to Com Incl ExtraOrd,41.09,41.33,48.18,51.60,46.87
Diluted Net Income,41.09,41.33,48.18,51.60,46.87
Diluted Weighted Average Shares,1011.41,906.21,1013.01,1009.50,1003.12
Diluted EPS Excluding ExtraOrd Items,0.04,0.05,0.05,0.05,0.05
DPS - Common Stock Primary Issue,0,0.02,0.03,0.03,0.03
Diluted Normalised EPS,0.04,0.05,0.05,0.05,0.05
