Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Cash,0,0,138.62,160.35,170.54
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,92.41,166.45,148.62,168.62,170.54
"Accounts Receivable - Trade, Net",50.74,55.15,70.33,60.66,58.67
"Total Receivables, Net",55.74,64.25,76.06,73.65,70.68
Prepaid Expenses,2.72,3.43,3.97,4.09,5.02
"Other Current Assets, Total",0.21,0.12,0.14,0.52,0.14
Total Current Assets,156.57,238.13,233.53,251.19,251.54
"Property/Plant/Equipment, Total - Gross",3167.86,3862.62,3931.48,4016.67,4103.76
"Accumulated Depreciation, Total",-542.24,-651.95,-806.96,-977.91,-1139.51
"Property/Plant/Equipment, Total - Net",2625.62,3210.67,3124.53,3038.76,2964.25
"Goodwill, Net",0,746.85,746.85,746.85,746.85
"Intangibles, Net",0,92.80,88.56,84.33,80.09
Long Term Investments,0,0,0.00,0.00,0.00
Total Assets,2877.24,4377.05,4281.80,4208.77,4123.46
Accounts Payable,18.81,15.07,18.09,10.87,14.51
Accrued Expenses,42.81,31.97,36.76,41.37,42.27
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",45.53,13.82,17.82,39.16,46.61
Total Current Liabilities,107.15,60.86,72.67,602.63,614.78
Total Long Term Debt,1608.08,588.74,634.55,167.66,192.14
Total Debt,1608.08,588.74,634.55,678.89,703.53
Deferred Income Tax,360.47,552.83,536.91,524.86,506.54
"Other Liabilities, Total",536.49,0.24,7.82,6.68,6.30
Total Liabilities,2612.19,1202.67,1251.95,1301.83,1319.75
"Common Stock, Total",578.78,3117.18,3117.18,3117.18,3117.18
Retained Earnings (Accumulated Deficit),-311.68,49.95,-94.04,-211.10,-313.48
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-2.05,7.25,6.71,0.86,0.00
Total Equity,265.05,3174.38,3029.85,2906.94,2803.70
Total Liabilities & Shareholders' Equity,2877.24,4377.05,4281.80,4208.77,4123.46
Total Common Shares Outstanding,3864.00,3896.97,3896.97,3896.97,3896.97
"Tangible Book Value per Share, Common Eq",0.07,0.60,0.56,0.53,0.51
