Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,41 Weeks,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,300.14,228.59,353.58,370.19,368.47
Total Revenue,300.14,228.59,353.58,370.19,368.47
"Selling/General/Admin. Expenses, Total",46.67,33.59,68.59,80.78,79.76
Depreciation/Amortisation,122.68,111.81,160.79,167.78,167.79
Unusual Expense (Income),0,0,2.08,16.75,2.34
"Other Operating Expenses, Total",3.80,27.72,36.52,15.84,17.40
Total Operating Expense,172.73,172.60,283.83,298.32,276.82
Operating Income,127.42,55.99,69.75,71.87,91.64
"Interest Inc.(Exp.),Net-Non-Op., Total",-37.70,-10.95,0,0,0
"Other, Net",0,-1.24,0,0,0
Net Income Before Taxes,89.72,43.81,69.75,71.87,91.64
Provision for Income Taxes,14.01,-6.14,-7.61,-6.24,-3.17
Net Income After Taxes,75.71,49.95,77.36,78.11,94.81
Net Income Before Extra. Items,75.71,49.95,77.36,78.11,94.81
Net Income,75.71,49.95,77.36,78.11,94.81
Income Available to Com Excl ExtraOrd,75.71,49.95,77.36,78.11,94.81
Income Available to Com Incl ExtraOrd,75.71,49.95,77.36,78.11,94.81
Diluted Net Income,75.71,49.95,77.36,78.11,94.81
Diluted Weighted Average Shares,3864.00,3892.46,3896.97,3896.97,3896.97
Diluted EPS Excluding ExtraOrd Items,0.02,0.01,0.02,0.02,0.02
DPS - Common Stock Primary Issue,0,0.03,0.05,0.05,0.05
Diluted Normalised EPS,0.02,0.01,0.02,0.02,0.02
