Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,18.08,29.42,29.23,17.22,19.65
Depreciation/Depletion,0.69,0.51,0.50,2.19,2.34
Non-Cash Items,2.31,2.98,1.86,3.28,4.25
Cash Taxes Paid,1.59,3.18,4.98,5.31,2.47
Changes in Working Capital,0.66,0.78,-18.45,-6.65,-7.14
Cash from Operating Activities,22.67,34.63,14.07,16.97,20.03
Capital Expenditures,-0.14,-0.47,-0.37,-1.24,-0.16
"Other Investing Cash Flow Items, Total",0.00,-0.18,-75.96,-10.42,-4.77
Cash from Investing Activities,-0.14,-0.65,-76.33,-11.66,-4.93
Total Cash Dividends Paid,0,0.00,-14.21,-11.54,-7.10
"Issuance (Retirement) of Stock, Net",0,28.25,0.00,0,0
Cash from Financing Activities,-19.00,10.25,43.31,-16.31,-12.00
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,3.53,44.22,-18.95,-11.00,3.10
