Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,284.37,396.95,419.94,365.11,389.43
Total Revenue,284.37,396.95,419.94,365.11,389.43
"Selling/General/Admin. Expenses, Total",16.16,22.35,21.60,18.27,18.25
Depreciation/Amortisation,1.62,1.44,1.43,3.12,3.27
Unusual Expense (Income),0.19,1.33,0.00,0.05,1.17
"Other Operating Expenses, Total",-0.67,-3.59,-3.73,2.07,-1.28
Total Operating Expense,265.19,367.30,390.47,346.65,369.02
Operating Income,19.18,29.65,29.47,18.46,20.41
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.10,-0.21,-0.22,-1.24,-0.71
"Other, Net",0,0,0,0,0
Net Income Before Taxes,18.08,29.42,29.23,17.22,19.65
Provision for Income Taxes,2.20,3.52,4.98,3.35,3.31
Net Income After Taxes,15.88,25.90,24.24,13.88,16.34
Net Income Before Extra. Items,15.88,25.90,24.24,14.01,16.44
Net Income,15.88,25.90,24.24,14.01,16.44
Income Available to Com Excl ExtraOrd,15.88,25.90,24.24,14.01,16.44
Income Available to Com Incl ExtraOrd,15.88,25.90,24.24,14.01,16.44
Diluted Net Income,15.88,25.90,24.24,14.01,16.44
Diluted Weighted Average Shares,355.20,322.56,355.20,355.20,355.20
Diluted EPS Excluding ExtraOrd Items,0.04,0.08,0.07,0.04,0.05
DPS - Common Stock Primary Issue,0,0.02,0.05,0.02,0.03
Diluted Normalised EPS,0.05,0.08,0.07,0.04,0.05
