Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,5.83,4.89,6.49,6.95,3.65
Depreciation/Depletion,0.24,0.42,0.66,8.52,9.78
Non-Cash Items,0.43,1.35,1.10,3.56,2.01
Cash Taxes Paid,0.35,0.45,0.71,0.22,0.93
Changes in Working Capital,-2.83,-1.68,-1.33,-10.29,-1.58
Cash from Operating Activities,3.98,5.49,7.47,9.21,14.45
Capital Expenditures,-1.04,-1.14,-1.08,-4.61,-3.03
"Other Investing Cash Flow Items, Total",-0.59,-17.76,-23.22,-42.31,5.63
Cash from Investing Activities,-1.63,-18.91,-24.29,-46.91,2.60
Total Cash Dividends Paid,0,-2.50,0.00,-3.24,0.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-5.38,48.92,13.10,8.11,-11.92
Foreign Exchange Effects,-0.00,-0.00,-0.21,-0.08,0.44
Net Change in Cash,-3.04,35.50,-3.94,-29.68,5.57
