Fiscal Year,2016,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,9 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS
Revenue,89.40,115.97,118.02,125.25
Total Revenue,89.40,115.97,118.02,125.25
"Selling/General/Admin. Expenses, Total",13.49,10.32,0.97,1.48
Depreciation/Amortisation,0,0,0,0
Unusual Expense (Income),0,0,0,0
"Other Operating Expenses, Total",0,0.30,0.27,0.71
Total Operating Expense,18.59,17.35,10.11,10.43
Operating Income,70.81,98.63,107.91,114.82
"Interest Inc.(Exp.),Net-Non-Op., Total",-22.48,143.38,72.84,-42.24
"Other, Net",-4.24,-4.08,-5.36,-8.35
Net Income Before Taxes,44.10,237.92,175.40,64.24
Provision for Income Taxes,16.83,68.70,49.25,17.22
Net Income After Taxes,27.27,169.23,126.15,47.02
Net Income Before Extra. Items,27.27,169.23,126.15,47.02
Net Income,27.27,169.23,126.15,47.02
Income Available to Com Excl ExtraOrd,27.27,169.23,126.15,47.02
Income Available to Com Incl ExtraOrd,27.27,169.23,126.15,47.02
Diluted Net Income,27.27,169.23,126.15,47.02
Diluted Weighted Average Shares,1180.28,1181.99,1189.87,1200.66
Diluted EPS Excluding ExtraOrd Items,0.02,0.14,0.11,0.04
DPS - Common Stock Primary Issue,0,0.05,0.07,0.07
Diluted Normalised EPS,0.02,0.14,0.11,0.04
