Fiscal Year,2017,2018,2019,2019.1,2020
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,9 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,156.67,188.15,181.97,150.32,191.67
Total Revenue,156.67,188.15,181.97,150.32,191.67
"Selling/General/Admin. Expenses, Total",1.70,1.67,4.16,4.37,7.28
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0,0.00,-0.05,-0.60,-0.20
Total Operating Expense,-14.55,-100.64,-106.70,-111.95,-1.63
Operating Income,171.22,288.79,288.67,262.27,193.31
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,171.22,288.79,288.67,262.27,193.31
Provision for Income Taxes,22.97,87.53,84.15,73.28,50.48
Net Income After Taxes,148.25,201.27,204.52,188.99,142.83
Net Income Before Extra. Items,139.17,191.31,192.12,177.81,130.72
Net Income,139.17,191.31,192.12,177.81,130.72
Income Available to Com Excl ExtraOrd,139.17,191.31,192.12,177.81,130.72
Income Available to Com Incl ExtraOrd,139.17,191.31,192.12,177.81,130.72
Diluted Net Income,139.17,191.31,192.12,177.81,130.72
Diluted Weighted Average Shares,929.18,945.97,1036.95,1054.83,1146.47
Diluted EPS Excluding ExtraOrd Items,0.15,0.20,0.19,0.17,0.11
DPS - Common Stock Primary Issue,0.06,0.06,0.07,0.06,0.09
Diluted Normalised EPS,0.15,0.20,0.19,0.17,0.11
