Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Net Income/Starting Line,-0.25,0.48,2.31,0.25,0.67
Depreciation/Depletion,0.05,0.06,0.06,0.09,0.08
Non-Cash Items,0.02,0.30,0.00,1.29,0.30
Cash Taxes Paid,0.03,0.03,-0.04,0.30,-0.13
Changes in Working Capital,1.38,-1.16,-1.35,-0.83,0.65
Cash from Operating Activities,1.26,-0.28,1.08,0.85,1.71
Capital Expenditures,-0.05,-0.06,-0.01,-0.02,-0.03
"Other Investing Cash Flow Items, Total",0.00,0.00,-0.15,-0.34,-0.56
Cash from Investing Activities,-0.05,-0.06,-0.16,-0.36,-0.59
Total Cash Dividends Paid,0,0,0,-0.87,0.00
"Issuance (Retirement) of Stock, Net",0.00,0.00,0.00,2.85,0.00
Cash from Financing Activities,-2.32,-0.47,-0.93,0.56,-0.06
Foreign Exchange Effects,0.08,0.02,-0.01,0.00,0.00
Net Change in Cash,-1.04,-0.78,-0.02,1.05,1.07
