Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Revenue,8.89,10.32,12.84,14.52,12.85
Total Revenue,8.89,10.32,12.84,14.52,12.85
"Selling/General/Admin. Expenses, Total",3.71,3.14,2.17,2.40,2.51
Depreciation/Amortisation,0,0,0,0.14,0.09
Unusual Expense (Income),0,0,0,1.24,0.00
"Other Operating Expenses, Total",-0.01,-0.08,-0.01,-0.16,-0.00
Total Operating Expense,9.14,9.85,10.53,14.27,12.18
Operating Income,-0.25,0.48,2.31,0.26,0.67
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-0.01,-0.00
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.25,0.48,2.31,0.25,0.67
Provision for Income Taxes,0.01,-0.17,0.34,0.08,-0.04
Net Income After Taxes,-0.26,0.65,1.97,0.18,0.71
Net Income Before Extra. Items,-0.26,0.65,1.97,0.18,0.71
Net Income,-0.26,0.65,1.97,0.18,0.71
Income Available to Com Excl ExtraOrd,-0.26,0.65,1.97,0.18,0.71
Income Available to Com Incl ExtraOrd,-0.26,0.65,1.97,0.18,0.71
Diluted Net Income,-0.26,0.65,1.97,0.18,0.71
Diluted Weighted Average Shares,66.79,66.79,66.79,74.85,82.05
Diluted EPS Excluding ExtraOrd Items,-0.00,0.01,0.03,0.00,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,-0.00,0.01,0.03,0.01,0.01
