Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1390.21,1652.34,1815.80,1882.16,1762.94
Total Revenue,1390.21,1652.34,1815.80,1882.16,1762.94
"Selling/General/Admin. Expenses, Total",262.26,352.26,377.65,373.31,357.09
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-4.35,7.58,21.97,29.80,17.86
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,1242.64,1598.60,1763.10,1758.09,1639.85
Operating Income,147.57,53.74,52.69,124.07,123.09
"Interest Inc.(Exp.),Net-Non-Op., Total",8.95,-7.54,-3.36,-4.66,0.66
"Other, Net",3.60,20.27,17.85,12.19,-41.33
Net Income Before Taxes,160.50,65.88,67.20,131.51,82.18
Provision for Income Taxes,34.40,2.56,14.07,52.40,8.85
Net Income After Taxes,126.10,63.31,53.13,79.11,73.33
Net Income Before Extra. Items,126.10,63.31,53.13,79.11,73.33
Net Income,126.10,63.31,53.13,79.11,73.33
Income Available to Com Excl ExtraOrd,126.10,63.31,53.13,79.11,73.33
Income Available to Com Incl ExtraOrd,126.10,63.31,53.13,79.11,73.33
Diluted Net Income,126.10,63.31,53.13,79.11,73.33
Diluted Weighted Average Shares,356.53,356.54,356.54,356.54,356.54
Diluted EPS Excluding ExtraOrd Items,0.35,0.18,0.15,0.22,0.21
DPS - Common Stock Primary Issue,0.05,0.05,0.05,0.05,0
Diluted Normalised EPS,0.34,0.20,0.20,0.27,0.25
