Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,37.57,24.25,21.64,33.47,29.44
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,37.57,24.25,21.64,33.47,29.44
"Accounts Receivable - Trade, Net",145.15,142.65,127.78,170.82,160.57
"Total Receivables, Net",165.18,163.01,150.74,325.67,185.35
Prepaid Expenses,29.70,24.93,30.05,29.59,29.88
"Other Current Assets, Total",12.62,9.98,9.45,35.52,7.11
Total Current Assets,1206.30,1025.10,929.11,967.87,854.29
"Property/Plant/Equipment, Total - Gross",1089.72,1155.14,1222.08,1391.91,1432.18
"Accumulated Depreciation, Total",-431.11,-542.62,-638.36,-716.21,-749.54
"Property/Plant/Equipment, Total - Net",658.61,612.52,583.72,675.70,682.64
"Goodwill, Net",203.43,203.43,203.43,203.43,203.43
"Intangibles, Net",537.59,511.22,504.57,497.92,491.27
Long Term Investments,25.80,25.20,24.21,22.86,22.53
Total Assets,2757.15,2509.13,2398.69,2554.35,2417.90
Accounts Payable,162.51,156.45,113.20,132.60,142.19
Accrued Expenses,127.90,126.96,92.61,138.54,128.43
Notes Payable/Short Term Debt,12.19,3.61,3.48,6.28,7.57
"Other Current liabilities, Total",20.30,29.26,8.71,28.67,18.08
Total Current Liabilities,772.60,797.89,710.74,1635.21,653.84
Total Long Term Debt,1264.27,983.60,985.92,225.43,1056.98
Total Debt,1726.16,1468.83,1482.13,1560.83,1422.12
Deferred Income Tax,3.91,7.13,6.40,12.45,6.60
"Other Liabilities, Total",137.82,112.24,94.49,115.37,57.99
Total Liabilities,2240.07,1949.93,1840.66,2043.28,1836.72
"Common Stock, Total",19.45,19.45,19.45,19.45,19.45
Retained Earnings (Accumulated Deficit),162.76,115.10,115.48,59.64,120.15
Treasury Stock - Common,-0.80,-0.29,-0.29,-0.29,-0.29
Unrealised Gain (Loss),10.89,10.89,10.89,13.73,14.28
"Other Equity, Total",-85.53,-94.28,-95.83,-89.80,-80.75
Total Equity,517.08,559.20,558.04,511.08,581.18
Total Liabilities & Shareholders' Equity,2757.15,2509.13,2398.69,2554.35,2417.90
Total Common Shares Outstanding,1943.21,1943.96,1943.96,1943.96,1943.96
"Tangible Book Value per Share, Common Eq",-0.13,-0.10,-0.09,-0.11,-0.07
