Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,19.89,-51.08,14.22,-93.83,76.47
Depreciation/Depletion,139.00,140.06,132.05,171.85,180.67
Non-Cash Items,107.94,95.02,62.31,189.01,136.14
Cash Taxes Paid,2.34,4.57,6.83,46.98,31.46
Changes in Working Capital,-89.10,165.20,-34.31,102.05,-84.66
Cash from Operating Activities,187.07,356.99,180.93,375.73,315.27
Capital Expenditures,-144.12,-144.78,-123.48,-130.86,-163.97
"Other Investing Cash Flow Items, Total",-0.90,40.84,16.92,28.46,126.85
Cash from Investing Activities,-145.03,-103.93,-106.56,-102.40,-37.12
Total Cash Dividends Paid,-25.83,-27.17,-19.75,-29.86,-49.81
"Issuance (Retirement) of Stock, Net",200.00,100.00,0.00,0.00,0
Cash from Financing Activities,-58.83,-273.95,-81.73,-261.66,-285.42
Foreign Exchange Effects,7.15,7.58,4.75,0.16,3.24
Net Change in Cash,-9.63,-13.33,-2.61,11.83,-4.03
