Fiscal Year,2015,2016,2017,2018,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Cash,0,0,27.89,11.81,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,54.11,53.96,28.94,11.81,0.05
"Accounts Receivable - Trade, Net",38.27,71.40,66.65,107.00,4.28
"Total Receivables, Net",40.50,73.27,68.02,109.15,10.89
Prepaid Expenses,2.23,1.43,1.30,0.71,0.01
"Other Current Assets, Total",2.67,6.03,4.74,9.52,0.00
Total Current Assets,113.19,147.94,110.88,135.23,10.94
"Property/Plant/Equipment, Total - Gross",54.31,53.50,53.78,37.54,0
"Accumulated Depreciation, Total",-35.77,-38.45,-39.24,-23.43,0
"Property/Plant/Equipment, Total - Net",18.54,15.04,14.54,14.11,2.49
"Goodwill, Net",2.73,2.73,2.73,2.73,0
"Intangibles, Net",0.01,0.01,0.01,0.03,0.00
Long Term Investments,0,0,0,0,16.93
Total Assets,148.97,180.92,141.34,159.93,30.66
Accounts Payable,14.69,27.81,18.85,31.28,0
Accrued Expenses,22.04,38.23,19.82,47.18,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,3.00,0.00
"Other Current liabilities, Total",5.70,6.18,10.09,13.13,0.00
Total Current Liabilities,42.42,72.22,48.81,94.59,7.55
Total Long Term Debt,0.00,0.00,0.00,0.00,0.41
Total Debt,0.00,0.00,0.05,3.00,0.45
Deferred Income Tax,0.00,0,0.09,0.04,0.00
"Other Liabilities, Total",0,0.08,0,0,0
Total Liabilities,41.97,71.84,48.44,94.23,7.96
"Common Stock, Total",32.73,32.73,32.73,32.73,32.73
Retained Earnings (Accumulated Deficit),74.27,76.34,60.17,32.97,-10.03
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,107.00,109.07,92.90,65.70,22.70
Total Liabilities & Shareholders' Equity,148.97,180.92,141.34,159.93,30.66
Total Common Shares Outstanding,260.26,260.26,260.26,260.26,260.26
"Tangible Book Value per Share, Common Eq",0.40,0.41,0.35,0.24,0.09
