Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,98.14,81.50,67.05,73.11,48.33
Total Revenue,98.14,81.50,67.05,73.11,48.33
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,42.71,37.11,31.73,24.80,14.77
Unusual Expense (Income),44.14,81.13,20.65,4.99,10.50
"Other Operating Expenses, Total",1.65,2.19,2.40,2.28,1.99
Total Operating Expense,115.80,147.51,78.42,56.24,44.48
Operating Income,-17.66,-66.01,-11.38,16.87,3.86
"Interest Inc.(Exp.),Net-Non-Op., Total",-10.80,-9.05,-8.50,-6.74,-2.58
"Other, Net",1.60,0.40,0.00,0,0
Net Income Before Taxes,-31.00,-73.89,-18.99,10.17,6.25
Provision for Income Taxes,0.00,0.00,-0.00,0.04,0.00
Net Income After Taxes,-31.00,-73.89,-18.99,10.13,6.25
Net Income Before Extra. Items,-31.00,-73.89,-18.99,10.13,6.25
Net Income,-31.00,-73.89,-18.99,10.13,6.25
Income Available to Com Excl ExtraOrd,-31.00,-73.89,-18.99,10.13,6.25
Income Available to Com Incl ExtraOrd,-31.00,-73.89,-18.99,10.13,6.25
Diluted Net Income,-31.00,-73.89,-18.99,10.13,6.25
Diluted Weighted Average Shares,637.46,637.46,637.46,1328.34,1768.06
Diluted EPS Excluding ExtraOrd Items,-0.05,-0.12,-0.03,0.01,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,0.03,-0.03,-0.01,0.01,0.01
