Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,399.98,464.02,501.55,461.11,471.38
Total Revenue,399.98,464.02,501.55,461.11,471.38
"Selling/General/Admin. Expenses, Total",72.32,76.16,75.94,73.26,74.04
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,5.45,0.00
"Other Operating Expenses, Total",0.68,3.14,0.06,-2.45,-5.83
Total Operating Expense,377.72,438.54,474.46,442.55,429.97
Operating Income,22.26,25.48,27.10,18.56,41.41
"Interest Inc.(Exp.),Net-Non-Op., Total",1.40,0.98,1.33,-1.01,-1.17
"Other, Net",0,0,0,0,0
Net Income Before Taxes,23.66,26.46,28.43,17.55,40.24
Provision for Income Taxes,6.22,5.54,6.20,5.71,7.14
Net Income After Taxes,17.43,20.92,22.23,11.84,33.10
Net Income Before Extra. Items,10.30,11.10,13.43,6.06,22.25
Net Income,10.30,11.10,13.43,6.06,22.25
Income Available to Com Excl ExtraOrd,10.30,11.10,13.43,6.06,22.25
Income Available to Com Incl ExtraOrd,10.30,11.10,13.43,6.06,22.25
Diluted Net Income,10.30,11.10,13.43,6.06,22.25
Diluted Weighted Average Shares,556.68,558.30,556.63,553.42,553.42
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.02,0.01,0.04
DPS - Common Stock Primary Issue,0.01,0.00,0.01,0.00,0.01
Diluted Normalised EPS,0.02,0.02,0.03,0.02,0.04
