Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Revenue,24.20,30.31,36.48,52.14,44.01
Total Revenue,24.20,30.31,36.48,52.14,44.01
"Selling/General/Admin. Expenses, Total",1.88,2.45,3.85,5.46,0.52
Depreciation/Amortisation,0.72,0.93,1.61,2.62,8.03
Unusual Expense (Income),0.28,0.00,-0.51,3.10,0.81
"Other Operating Expenses, Total",3.65,4.21,5.01,6.46,2.06
Total Operating Expense,21.05,25.19,30.95,47.64,41.37
Operating Income,3.15,5.12,5.53,4.51,2.64
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-0.21,-1.62
"Other, Net",0,0,0,0,-0.15
Net Income Before Taxes,3.15,5.12,5.53,4.30,0.86
Provision for Income Taxes,1.03,1.58,1.61,1.31,0.63
Net Income After Taxes,2.12,3.55,3.92,2.99,0.24
Net Income Before Extra. Items,1.03,2.31,2.73,1.95,0.85
Net Income,1.03,2.31,2.73,1.95,0.85
Income Available to Com Excl ExtraOrd,1.03,2.31,2.73,1.95,0.85
Income Available to Com Incl ExtraOrd,1.03,2.31,2.73,1.95,0.85
Diluted Net Income,1.03,2.31,2.73,1.95,0.85
Diluted Weighted Average Shares,209.00,209.00,209.00,209.00,244.49
Diluted EPS Excluding ExtraOrd Items,0.00,0.01,0.01,0.01,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,0.01,0.01,0.01,0.02,0.01
