Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,Interim Report,ARS,ARS,ARS
Cash,15.08,19.45,18.95,65.19,117.11
Short Term Investments,3.40,48.70,48.14,57.19,57.35
Cash and Short Term Investments,18.48,68.15,67.08,122.38,174.45
"Accounts Receivable - Trade, Net",89.48,99.93,115.49,97.26,98.66
"Total Receivables, Net",94.81,108.03,119.77,102.54,104.76
Prepaid Expenses,5.77,4.16,6.09,4.49,5.56
"Other Current Assets, Total",1.45,1.63,1.92,4.73,1.30
Total Current Assets,229.78,294.13,339.48,374.83,429.27
"Property/Plant/Equipment, Total - Gross",298.86,263.33,264.22,286.80,324.57
"Accumulated Depreciation, Total",-198.84,-169.42,-166.87,-179.62,-208.00
"Property/Plant/Equipment, Total - Net",100.02,93.90,97.35,107.18,116.56
"Goodwill, Net",11.34,11.56,9.72,9.57,9.94
"Intangibles, Net",1.21,0.73,0.12,0.08,0.18
Long Term Investments,4.13,5.60,4.94,4.87,4.81
Total Assets,363.00,420.16,463.74,506.20,563.79
Accounts Payable,51.52,61.90,79.20,87.81,80.10
Accrued Expenses,20.08,26.88,30.81,30.41,40.00
Notes Payable/Short Term Debt,56.65,61.11,65.91,52.01,66.69
"Other Current liabilities, Total",13.16,12.98,12.03,14.62,19.32
Total Current Liabilities,142.18,163.49,189.54,190.37,211.68
Total Long Term Debt,1.32,1.87,1.21,11.21,9.72
Total Debt,58.74,63.61,68.71,68.75,81.98
Deferred Income Tax,3.34,3.73,3.85,4.11,3.45
"Other Liabilities, Total",1.47,1.52,1.62,2.35,2.66
Total Liabilities,150.34,172.96,198.85,210.82,229.84
"Common Stock, Total",100.03,101.94,102.89,103.49,104.33
Retained Earnings (Accumulated Deficit),114.89,143.56,163.98,196.99,226.00
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),-2.27,-2.60,-3.17,-3.17,-3.17
"Other Equity, Total",0.00,4.29,1.18,-1.93,6.79
Total Equity,212.65,247.20,264.89,295.37,333.96
Total Liabilities & Shareholders' Equity,363.00,420.16,463.74,506.20,563.79
Total Common Shares Outstanding,406.64,416.38,421.50,424.27,426.47
"Tangible Book Value per Share, Common Eq",0.49,0.56,0.61,0.67,0.76
