Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,466.42,515.09,625.79,659.15,620.62
Total Revenue,466.42,515.09,625.79,659.15,620.62
"Selling/General/Admin. Expenses, Total",53.63,56.99,59.33,55.39,52.71
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.18,-10.53,3.75,3.17,2.23
"Other Operating Expenses, Total",-2.75,-2.28,-1.52,-1.25,2.57
Total Operating Expense,446.13,474.67,584.63,603.96,569.52
Operating Income,20.29,40.41,41.16,55.19,51.10
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-1.00,-1.29,-0.84
"Other, Net",0,0,0,0,1.61
Net Income Before Taxes,20.29,40.41,40.16,53.90,51.87
Provision for Income Taxes,4.32,6.60,9.82,11.30,8.82
Net Income After Taxes,15.97,33.82,30.35,42.60,43.05
Net Income Before Extra. Items,15.91,33.44,30.03,42.37,42.57
Net Income,15.91,33.44,30.03,42.37,42.57
Income Available to Com Excl ExtraOrd,15.91,33.44,30.03,42.37,42.57
Income Available to Com Incl ExtraOrd,15.91,33.44,30.03,42.37,42.57
Diluted Net Income,15.91,33.44,30.03,42.37,42.57
Diluted Weighted Average Shares,407.59,418.17,422.17,424.92,426.39
Diluted EPS Excluding ExtraOrd Items,0.04,0.08,0.07,0.10,0.10
DPS - Common Stock Primary Issue,0.01,0.02,0.02,0.03,0.03
Diluted Normalised EPS,0.04,0.06,0.08,0.11,0.11
