Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,23.51,18.77,33.19,34.92,24.18
Depreciation/Depletion,3.13,16.02,17.93,19.61,26.59
Non-Cash Items,14.84,5.01,25.91,-9.05,-13.98
Cash Taxes Paid,1.36,34.04,5.15,14.07,3.94
Changes in Working Capital,153.57,-36.40,3.06,23.60,-107.36
Cash from Operating Activities,195.06,3.40,80.10,69.08,-70.56
Capital Expenditures,-0.51,-0.21,-4.40,-8.62,-3.26
"Other Investing Cash Flow Items, Total",-159.87,-118.57,-50.66,-164.63,-135.86
Cash from Investing Activities,-160.37,-118.78,-55.06,-173.25,-139.11
Total Cash Dividends Paid,-49.62,-5.52,-6.44,-6.44,-6.44
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-42.11,106.68,1.71,2.98,205.03
Foreign Exchange Effects,0.12,-1.29,-5.27,0.92,0.96
Net Change in Cash,-7.30,-10.00,21.48,-100.27,-3.68
