Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,88.49,92.44,135.28,203.72,388.42
Short Term Investments,236.17,267.86,375.32,580.64,709.01
Cash and Short Term Investments,324.66,360.31,510.60,784.36,1097.43
"Accounts Receivable - Trade, Net",561.41,486.05,533.69,500.66,737.20
"Total Receivables, Net",860.10,837.34,880.43,761.78,977.98
Prepaid Expenses,283.42,219.86,215.27,236.52,177.39
"Other Current Assets, Total",35.23,227.34,45.67,13.46,10.36
Total Current Assets,2776.06,2874.68,2885.50,2962.96,3357.72
"Property/Plant/Equipment, Total - Gross",6459.69,6592.95,6842.91,7138.24,7754.97
"Accumulated Depreciation, Total",-2569.83,-2901.28,-3126.64,-3418.62,-3628.36
"Property/Plant/Equipment, Total - Net",3889.86,3691.67,3716.27,3719.62,4126.62
"Goodwill, Net",151.90,153.20,151.26,134.26,133.70
"Intangibles, Net",6.96,13.72,35.41,48.19,57.56
Long Term Investments,964.18,885.04,1200.59,1474.28,1092.17
Total Assets,8306.42,8137.78,8545.58,8779.33,9126.38
Accounts Payable,312.35,293.84,356.52,318.97,339.40
Accrued Expenses,69.54,70.67,67.74,68.50,92.38
Notes Payable/Short Term Debt,1255.36,1470.13,1703.09,2091.06,2057.01
"Other Current liabilities, Total",295.78,240.91,238.91,240.11,228.13
Total Current Liabilities,2715.10,2597.79,2490.90,2737.11,2889.18
Total Long Term Debt,1292.53,1250.35,1509.18,1273.00,1180.82
Total Debt,3329.96,3242.73,3336.91,3382.53,3410.08
Deferred Income Tax,117.63,78.24,78.08,85.63,154.68
"Other Liabilities, Total",85.21,102.84,157.34,178.15,470.10
Total Liabilities,4252.67,4130.80,4376.94,4422.26,4880.45
"Common Stock, Total",320.94,320.94,320.94,320.94,320.94
Retained Earnings (Accumulated Deficit),2371.85,2308.87,2389.03,2522.32,2507.89
Treasury Stock - Common,-31.73,-31.73,-31.73,-31.73,-37.52
Unrealised Gain (Loss),4.82,3.12,106.69,165.19,64.61
"Other Equity, Total",-12.54,5.37,-16.70,-20.07,-10.41
Total Equity,4053.75,4006.98,4168.64,4357.07,4245.93
Total Liabilities & Shareholders' Equity,8306.42,8137.78,8545.58,8779.33,9126.38
Total Common Shares Outstanding,12734.76,12734.76,12734.76,12734.76,12692.07
"Tangible Book Value per Share, Common Eq",0.31,0.30,0.31,0.33,0.32
