Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,36724.00,33905.00,29806.00,13474.00,30322.00
Short Term Investments,22000.00,0,0,0,0
Cash and Short Term Investments,58724.00,33905.00,29806.00,13474.00,30322.00
"Accounts Receivable - Trade, Net",163471.00,269131.00,348603.00,464267.00,463278.00
"Total Receivables, Net",175196.00,269131.00,348603.00,464267.00,463278.00
Prepaid Expenses,47442.00,35176.00,58856.00,76046.00,93999.00
"Other Current Assets, Total",39420.00,42827.00,16138.00,6274.00,11608.00
Total Current Assets,849088.00,936094.00,1365793.00,1647118.00,1541273.00
"Property/Plant/Equipment, Total - Gross",1782918.00,0,0,0,0
"Accumulated Depreciation, Total",-1172721.00,0,0,0,0
"Property/Plant/Equipment, Total - Net",610197.00,553760.00,551163.00,659457.00,1039876.00
"Goodwill, Net",0.00,0,0,0,0
"Intangibles, Net",0.00,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,1566751.00,1676243.00,2079214.00,2474191.00,2774046.00
Accounts Payable,277723.00,283433.00,363116.00,511193.00,451855.00
Accrued Expenses,122112.00,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",48642.00,223731.00,95237.00,87921.00,74186.00
Total Current Liabilities,950976.00,1154286.00,1488434.00,1800699.00,1823407.00
Total Long Term Debt,329033.00,181062.00,146415.00,98387.00,228614.00
Total Debt,831532.00,828184.00,1176496.00,1299972.00,1525980.00
Deferred Income Tax,1667.00,0,91.00,3161.00,43508.00
"Other Liabilities, Total",215845.00,254324.00,238174.00,369766.00,296521.00
Total Liabilities,1504277.00,1594489.00,1876796.00,2276870.00,2702558.00
"Common Stock, Total",2501056.00,2501056.00,2502305.00,537603.00,539028.00
Retained Earnings (Accumulated Deficit),-2438582.00,-2433784.00,-2333301.00,-340282.00,-467540.00
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,14482.00,33414.00,0,0
Total Equity,62474.00,81754.00,202418.00,197321.00,71488.00
Total Liabilities & Shareholders' Equity,1566751.00,1676243.00,2079214.00,2474191.00,2774046.00
Total Common Shares Outstanding,2374.05,2374.05,2377.15,2377.15,2384.84
"Tangible Book Value per Share, Common Eq",26.32,34.44,85.15,83.01,29.98
