Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,38.35,82.27,80.69,172.34,129.62
Short Term Investments,86.84,69.29,1.86,10.11,12.95
Cash and Short Term Investments,125.19,151.56,82.55,182.45,142.57
"Accounts Receivable - Trade, Net",93.15,53.28,28.69,31.02,44.07
"Total Receivables, Net",115.56,144.84,122.30,76.88,67.10
Prepaid Expenses,0,1.04,1.78,1.63,0.81
"Other Current Assets, Total",200.14,172.56,216.96,168.99,283.72
Total Current Assets,928.04,1010.04,1207.18,984.06,935.64
"Property/Plant/Equipment, Total - Gross",216.15,261.22,283.40,354.86,373.10
"Accumulated Depreciation, Total",-40.62,-45.71,-52.38,-64.89,-81.11
"Property/Plant/Equipment, Total - Net",175.53,215.51,231.03,289.98,291.99
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.07,0.54,0.39,0.22,0.12
Long Term Investments,346.72,291.61,268.79,323.08,388.51
Total Assets,1461.62,1517.70,1707.40,1597.33,1616.26
Accounts Payable,1.12,8.96,13.63,15.41,6.74
Accrued Expenses,23.76,17.23,13.83,16.32,12.27
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",60.39,93.58,125.27,101.83,108.45
Total Current Liabilities,662.97,673.52,965.93,859.76,758.30
Total Long Term Debt,270.55,318.09,229.65,217.10,370.26
Total Debt,832.70,871.85,1042.86,943.29,1001.11
Deferred Income Tax,33.09,16.48,10.98,9.94,10.23
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,970.36,1013.23,1211.10,1086.68,1134.17
"Common Stock, Total",47.40,47.40,47.40,47.40,47.40
Retained Earnings (Accumulated Deficit),446.52,461.31,470.88,489.68,445.97
Treasury Stock - Common,-0.56,-0.56,-3.95,-3.95,-3.95
Unrealised Gain (Loss),0.05,0.85,0.53,0.52,-5.05
"Other Equity, Total",-2.15,-4.52,-18.56,-22.99,-2.28
Total Equity,491.26,504.48,496.30,510.65,482.09
Total Liabilities & Shareholders' Equity,1461.62,1517.70,1707.40,1597.33,1616.26
Total Common Shares Outstanding,1192.24,1192.22,1303.98,1303.98,1303.98
"Tangible Book Value per Share, Common Eq",0.41,0.42,0.38,0.39,0.37
