Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Dec 2013,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,328.59,106.72,0.00,0.00,0.00
Total Revenue,328.59,106.72,0.00,0.00,0.00
"Selling/General/Admin. Expenses, Total",45.16,37.62,877.26,5.47,0.63
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),93.89,-5.33,0,-19.99,0.67
"Other Operating Expenses, Total",30.46,36.03,0.40,-47.74,-16.62
Total Operating Expense,644.65,282.52,877.68,-62.26,-15.31
Operating Income,-316.06,-175.80,-877.68,62.26,15.31
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-316.06,-175.80,-877.68,62.26,15.31
Provision for Income Taxes,0.00,0.01,0.01,0.00,0.00
Net Income After Taxes,-316.06,-175.81,-877.69,62.26,15.31
Net Income Before Extra. Items,-316.06,-175.81,-877.69,62.26,15.31
Net Income,-316.06,-175.81,-877.69,62.26,14.64
Income Available to Com Excl ExtraOrd,-316.06,-175.81,-877.69,62.26,15.31
Income Available to Com Incl ExtraOrd,-316.06,-175.81,-877.69,62.26,14.64
Diluted Net Income,-316.06,-175.81,-877.69,62.26,14.64
Diluted Weighted Average Shares,1166.03,1193.79,1208.03,1208.03,1208.03
Diluted EPS Excluding ExtraOrd Items,-0.27,-0.15,-0.73,0.05,0.01
DPS - Common Stock Primary Issue,0.00,0.00,0,0,0
Diluted Normalised EPS,-0.22,-0.15,-0.31,0.03,0.01
