Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,56.18,26.93,45.39,37.47,60.76
Short Term Investments,59.60,23.44,33.06,31.71,8.26
Cash and Short Term Investments,115.78,50.37,78.45,69.18,69.03
"Accounts Receivable - Trade, Net",35.71,36.89,58.59,49.56,53.88
"Total Receivables, Net",36.84,79.20,65.30,63.07,55.57
Prepaid Expenses,0.40,0.41,0.43,0.49,0.56
"Other Current Assets, Total",30.41,30.86,37.78,64.53,54.19
Total Current Assets,183.42,160.85,181.96,197.25,179.35
"Property/Plant/Equipment, Total - Gross",21.83,30.11,35.18,39.82,40.25
"Accumulated Depreciation, Total",-15.11,-14.75,-16.68,-18.69,-19.91
"Property/Plant/Equipment, Total - Net",6.73,15.37,18.50,21.13,20.34
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.04,0.04,0.03,0.03,0.03
Long Term Investments,322.29,395.64,399.47,395.87,401.19
Total Assets,516.94,576.60,604.02,617.10,603.69
Accounts Payable,17.74,16.22,15.02,16.28,18.93
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.51,36.78,32.72,10.72,16.91
"Other Current liabilities, Total",69.32,59.07,63.55,72.08,76.12
Total Current Liabilities,126.44,138.40,150.60,127.77,153.54
Total Long Term Debt,27.35,59.78,83.43,119.80,90.02
Total Debt,66.73,122.89,155.46,159.20,148.51
Deferred Income Tax,18.81,19.51,18.53,17.71,16.37
"Other Liabilities, Total",1.51,0.20,0.19,0.21,0.21
Total Liabilities,196.19,241.34,276.24,288.46,283.33
"Common Stock, Total",50.92,50.92,50.92,50.92,50.92
Retained Earnings (Accumulated Deficit),269.49,280.65,275.74,280.36,269.80
Treasury Stock - Common,0.00,0,0,-1.65,-2.13
Unrealised Gain (Loss),0.22,0.22,1.47,0.22,0.22
"Other Equity, Total",0.13,3.48,-0.34,-1.20,1.56
Total Equity,320.75,335.26,327.78,328.64,320.36
Total Liabilities & Shareholders' Equity,516.94,576.60,604.02,617.10,603.69
Total Common Shares Outstanding,569.74,569.74,569.74,564.86,563.40
"Tangible Book Value per Share, Common Eq",0.56,0.59,0.58,0.58,0.57
