Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,28.57,0,42.22,54.74,69.04
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,28.57,42.84,42.22,54.74,69.04
"Accounts Receivable - Trade, Net",38.50,40.67,33.06,35.99,31.50
"Total Receivables, Net",44.48,42.77,35.37,39.39,34.04
Prepaid Expenses,2.25,5.75,6.31,5.52,4.75
"Other Current Assets, Total",0.84,0.82,0.88,1.00,0.80
Total Current Assets,119.70,139.67,135.32,156.51,158.76
"Property/Plant/Equipment, Total - Gross",85.63,0,99.07,145.89,155.69
"Accumulated Depreciation, Total",-21.24,0,-30.14,-36.13,-40.92
"Property/Plant/Equipment, Total - Net",64.39,64.62,68.93,109.76,114.77
"Goodwill, Net",6.68,0,6.68,6.68,6.68
"Intangibles, Net",3.66,10.34,3.66,3.66,3.66
Long Term Investments,30.73,29.21,27.51,27.78,25.33
Total Assets,228.65,247.25,244.72,307.59,312.64
Accounts Payable,17.59,0.37,15.08,22.32,17.87
Accrued Expenses,12.74,0,14.81,12.78,10.92
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.61,5.18,3.77,8.41,6.02
Total Current Liabilities,55.97,60.91,54.00,60.20,55.00
Total Long Term Debt,16.88,16.31,13.80,40.15,37.95
Total Debt,38.90,36.38,34.14,56.85,58.14
Deferred Income Tax,1.94,2.59,1.47,1.54,2.73
"Other Liabilities, Total",0.01,0.01,0.00,0,0
Total Liabilities,74.92,79.35,68.44,100.70,94.62
"Common Stock, Total",40.85,41.09,41.20,42.02,43.27
Retained Earnings (Accumulated Deficit),126.64,127.12,143.40,167.52,187.45
Treasury Stock - Common,-0.32,-0.32,-0.32,-0.48,-1.74
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-13.44,0,-8.01,-2.17,-10.95
Total Equity,153.74,167.89,176.27,206.90,218.02
Total Liabilities & Shareholders' Equity,228.65,247.25,244.72,307.59,312.64
Total Common Shares Outstanding,532.74,533.81,533.81,535.16,536.58
"Tangible Book Value per Share, Common Eq",0.27,0.30,0.31,0.37,0.39
