Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Jan 2017,31 Jan 2018,31 Jan 2019,31 Jan 2020,31 Jan 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,67.82,22.91,21.51,13.71,48.74
Depreciation/Depletion,3.00,2.06,1.79,3.27,5.58
Non-Cash Items,-52.37,-3.25,1.73,-5.29,-41.17
Cash Taxes Paid,10.88,1.18,3.28,3.16,1.29
Changes in Working Capital,-6.36,-41.24,-63.85,-348.42,-35.06
Cash from Operating Activities,12.10,-19.52,-38.82,-336.74,-21.90
Capital Expenditures,-1.21,-93.52,-30.67,-21.48,-7.89
"Other Investing Cash Flow Items, Total",67.08,9.68,5.62,29.54,71.98
Cash from Investing Activities,65.87,-83.84,-25.04,8.06,64.09
Total Cash Dividends Paid,-29.55,-29.55,-14.78,-11.08,-11.08
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-41.60,-7.81,45.33,272.51,-26.34
Foreign Exchange Effects,0.33,-5.35,0.75,-0.61,1.10
Net Change in Cash,36.70,-116.53,-17.79,-56.78,16.95
