Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,479.35,1134.98,530.13,420.33,285.48
Short Term Investments,563.28,0,0,0,0
Cash and Short Term Investments,1042.63,1134.98,530.13,420.33,285.48
"Accounts Receivable - Trade, Net",269.96,289.56,284.63,277.85,275.30
"Total Receivables, Net",315.75,339.35,337.31,337.86,360.77
Prepaid Expenses,5.04,5.00,5.35,8.92,9.89
"Other Current Assets, Total",15.78,22.79,6.17,5.55,5.91
Total Current Assets,1626.56,1749.21,1122.22,1034.79,958.78
"Property/Plant/Equipment, Total - Gross",1179.73,0,1289.93,1450.51,1581.07
"Accumulated Depreciation, Total",-509.57,0,-728.48,-763.37,-809.50
"Property/Plant/Equipment, Total - Net",492.79,505.64,561.46,687.14,771.57
"Goodwill, Net",74.50,0,75.24,93.51,93.54
"Intangibles, Net",35.55,120.69,43.88,47.30,46.30
Long Term Investments,1516.40,2515.40,2682.63,2834.22,2876.54
Total Assets,3773.83,4901.96,4506.13,4720.53,4774.73
Accounts Payable,180.55,161.82,171.48,182.48,161.12
Accrued Expenses,165.02,131.65,135.95,154.09,133.84
Notes Payable/Short Term Debt,0.80,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",94.07,132.21,115.10,155.82,132.84
Total Current Liabilities,451.86,1211.27,796.66,501.61,484.78
Total Long Term Debt,124.83,517.50,497.29,820.46,821.06
Total Debt,137.05,1303.09,871.42,829.68,878.03
Deferred Income Tax,19.95,17.07,16.96,19.62,24.56
"Other Liabilities, Total",24.65,30.98,30.83,45.73,48.68
Total Liabilities,930.74,2092.73,1689.33,1787.25,1806.19
"Common Stock, Total",849.30,849.30,851.94,853.55,855.87
Retained Earnings (Accumulated Deficit),961.62,1958.93,2020.55,2091.60,2159.74
Treasury Stock - Common,-2.66,-0.27,-0.27,0,0
Unrealised Gain (Loss),1177.59,1.26,-25.87,-32.10,-33.63
"Other Equity, Total",-142.77,0.00,-29.55,20.23,-13.43
Total Equity,2843.08,2809.23,2816.80,2933.28,2968.54
Total Liabilities & Shareholders' Equity,3773.83,4901.96,4506.13,4720.53,4774.73
Total Common Shares Outstanding,1445.77,1446.95,1448.12,1449.03,1450.09
"Tangible Book Value per Share, Common Eq",1.89,1.86,1.86,1.93,1.95
