Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0,0,0,0,0
Total Revenue,11925.90,17815.10,11991.30,18631.60,21457.80
"Selling/General/Admin. Expenses, Total",688.00,1012.00,599.40,1109.50,1212.80
Depreciation/Amortisation,56.20,70.70,56.70,73.50,78.10
Unusual Expense (Income),269.50,263.00,-40.40,25.00,-5.00
"Other Operating Expenses, Total",-1357.00,619.70,-103.70,-5.30,-10.10
Total Operating Expense,11198.70,16530.10,11064.40,17419.50,20483.90
Operating Income,727.20,1285.00,926.90,1212.10,973.90
"Interest Inc.(Exp.),Net-Non-Op., Total",-26.90,-18.80,-18.80,-18.60,-18.30
"Other, Net",0,0,0,0,0
Net Income Before Taxes,700.30,1266.20,908.10,1193.50,955.60
Provision for Income Taxes,101.50,218.60,158.10,171.40,-32.80
Net Income After Taxes,598.80,1047.60,750.00,1022.10,988.40
Net Income Before Extra. Items,589.30,1036.70,740.70,1003.80,960.60
Net Income,589.30,1036.70,740.70,1003.80,960.60
Income Available to Com Excl ExtraOrd,589.30,1036.70,740.70,1003.80,960.60
Income Available to Com Incl ExtraOrd,589.30,1036.70,740.70,1003.80,960.60
Diluted Net Income,589.30,1036.70,740.70,1003.80,960.60
Diluted Weighted Average Shares,473.30,473.30,473.30,473.30,473.30
Diluted EPS Excluding ExtraOrd Items,1.25,2.19,1.56,2.12,2.03
DPS - Common Stock Primary Issue,0.50,0.60,0.60,0.60,0.60
Diluted Normalised EPS,1.73,2.65,1.49,2.17,2.02
